#TAP_Pax7_MB_peaks Enhancers
#Created from DYSE_OUT_1906232025_2/ROSE_OUTPUT/TAP_Pax7_MB_peaks/TAP_Pax7_MB_peaks_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by myobH3K27ac.bam
#Using cutoff of 162.5472 for Super-Enhancers
#Created on Jun 23 2019 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	myobH3K27ac.bam	Input_MB.bam	enhancerRank	isSuper
3_TAP_Pax7_MB_peak_19597_lociStitched	chr19	61259872	61267654	3	379	19560.8352	2444.3262	1	1
2_TAP_Pax7_MB_peak_23916_lociStitched	chr3	107737836	107747931	2	385	13618.155	1284.084	2	1
1_TAP_Pax7_MB_peak_25927_lociStitched	chr4	64497812	64498000	1	189	38161.4056	26711.2844	3	1
4_TAP_Pax7_MB_peak_22441_lociStitched	chr3	5212354	5236804	4	845	13892.49	2709.06	4	1
4_TAP_Pax7_MB_peak_21742_lociStitched	chr2	128729381	128759186	4	662	13319.8545	3519.9705	5	1
2_TAP_Pax7_MB_peak_20328_lociStitched	chr2	49733257	49744363	2	296	11164.8618	1617.0336	6	1
3_TAP_Pax7_MB_peak_8993_lociStitched	chr13	28408391	28426830	3	467	9652.8165	2030.1339	7	1
2_TAP_Pax7_MB_peak_8874_lociStitched	chr13	21824785	21834526	2	363	8248.6788	1045.2093	8	1
6_TAP_Pax7_MB_peak_11823_lociStitched	chr14	76775557	76792594	6	1262	9658.2753	2862.216	9	1
1_TAP_Pax7_MB_peak_35186_lociStitched	chr9	24541954	24542196	1	243	48415.004	41725.3254	10	1
2_TAP_Pax7_MB_peak_33757_lociStitched	chr8	45576190	45587170	2	260	8220.726	1662.372	11	1
2_TAP_Pax7_MB_peak_16345_lociStitched	chr17	25914084	25923027	2	241	7495.1283	1015.9248	12	1
6_TAP_Pax7_MB_peak_26327_lociStitched	chr4	89031560	89061762	6	1331	10317.0032	4101.4316	13	1
3_TAP_Pax7_MB_peak_31572_lociStitched	chr7	29999749	30011177	3	465	7445.342	1277.6504	14	1
3_TAP_Pax7_MB_peak_35979_lociStitched	chr9	75416193	75425218	3	431	7323.7875	1173.25	15	1
2_TAP_Pax7_MB_peak_32503_lociStitched	chr7	99301665	99311509	2	342	7130.0092	986.3688	16	1
2_TAP_Pax7_MB_peak_13273_lociStitched	chr15	38699924	38712338	2	212	8049.2376	1925.4114	17	1
2_TAP_Pax7_MB_peak_26950_lociStitched	chr4	139213588	139218846	2	277	6733.3948	716.1396	18	1
2_TAP_Pax7_MB_peak_35778_lociStitched	chr9	63395170	63406991	2	347	7047.6802	1034.3375	19	1
2_TAP_Pax7_MB_peak_1459_lociStitched	chr1	90225823	90238581	2	339	7464.7058	1871.5986	20	1
2_TAP_Pax7_MB_peak_22300_lociStitched	chr2	167076486	167079775	2	267	5947.8276	385.7997	21	1
3_TAP_Pax7_MB_peak_27935_lociStitched	chr5	53937350	53950610	3	678	7306.26	1816.62	22	1
2_TAP_Pax7_MB_peak_23884_lociStitched	chr3	104635260	104645397	2	228	6660.009	1196.166	23	1
3_TAP_Pax7_MB_peak_32915_lociStitched	chr7	133082280	133100175	3	459	6973.6815	1542.549	24	1
3_TAP_Pax7_MB_peak_35347_lociStitched	chr9	35414212	35435630	3	408	7492.0164	2255.3154	25	1
2_TAP_Pax7_MB_peak_9458_lociStitched	chr13	54608587	54615611	2	339	5869.2544	762.8064	26	1
2_TAP_Pax7_MB_peak_30689_lociStitched	chr6	97216086	97223135	2	267	5991.65	934.6974	27	1
3_TAP_Pax7_MB_peak_35339_lociStitched	chr9	34989892	35003613	3	360	6365.1719	1428.3561	28	1
4_TAP_Pax7_MB_peak_13427_lociStitched	chr15	44419662	44432245	4	686	6505.411	1653.4062	29	1
2_TAP_Pax7_MB_peak_28535_lociStitched	chr5	93126914	93133980	2	309	5377.226	974.4014	30	1
3_TAP_Pax7_MB_peak_22171_lociStitched	chr2	155877786	155886899	3	399	5579.8899	1182.8674	31	1
3_TAP_Pax7_MB_peak_33819_lociStitched	chr8	48839657	48852742	3	560	5605.614	1333.3615	32	1
3_TAP_Pax7_MB_peak_10307_lociStitched	chr13	109684178	109691956	3	403	5135.0356	871.136	33	1
