REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	2d_myotH3K27ac.bam	Input_MT_2d.bam
46_Myog_60hr_MT_peak_34041_lociStitched	chr6	127953194	128117435	46	11340	46003.9041	14765.2659
36_Myog_60hr_MT_peak_20686_lociStitched	chr19	7066539	7179499	36	11315	17011.776	10968.416
23_Myog_60hr_MT_peak_24667_lociStitched	chr2	167232189	167336911	23	6626	37438.115	10283.7004
55_Myog_60hr_MT_peak_39556_lociStitched	chr8	123528139	123632568	55	9978	8719.8215	12312.1791
15_Myog_60hr_MT_peak_10591_lociStitched	chr13	37605437	37692410	15	3557	34789.2	8332.0134
17_Myog_60hr_MT_peak_36764_lociStitched	chr7	130596576	130682003	17	3573	26268.8025	6671.8487
27_Myog_60hr_MT_peak_31576_lociStitched	chr5	125106270	125189929	27	6424	32049.7629	8483.0226
14_Myog_60hr_MT_peak_7291_lociStitched	chr11	99662928	99743314	14	2811	4823.16	8352.1054
18_Myog_60hr_MT_peak_21469_lociStitched	chr19	47379192	47459544	18	4700	23430.6432	7408.4544
20_Myog_60hr_MT_peak_39211_lociStitched	chr8	120484505	120564819	20	7187	13557.0032	6015.5186
18_Myog_60hr_MT_peak_32950_lociStitched	chr6	72200640	72280681	18	5490	20466.4837	7459.8212
17_Myog_60hr_MT_peak_16810_lociStitched	chr16	92928346	93008265	17	5103	62712.4393	8695.1872
31_Myog_60hr_MT_peak_39160_lociStitched	chr8	120243986	120323510	31	7926	17837.2332	6131.3004
22_Myog_60hr_MT_peak_39000_lociStitched	chr8	111693253	111771878	22	7096	47646.75	6651.675
18_Myog_60hr_MT_peak_22056_lociStitched	chr2	26480227	26557050	18	5739	24614.0892	7751.4407
27_Myog_60hr_MT_peak_17950_lociStitched	chr17	31728990	31805557	27	8064	35358.6406	7342.7753
30_Myog_60hr_MT_peak_36848_lociStitched	chr7	132697492	132773699	30	7781	22801.1344	6073.6979
16_Myog_60hr_MT_peak_17741_lociStitched	chr17	27966198	28040979	16	3972	11837.8323	6849.9396
16_Myog_60hr_MT_peak_27376_lociStitched	chr4	46042579	46117034	16	4029	21212.2295	6976.4335
11_Myog_60hr_MT_peak_28241_lociStitched	chr4	118030065	118103692	11	3153	33728.5287	7127.0936
12_Myog_60hr_MT_peak_36366_lociStitched	chr7	112264985	112336624	12	2385	28089.6519	5931.7092
35_Myog_60hr_MT_peak_29732_lociStitched	chr4	155118397	155189929	35	10298	30830.292	6366.348
11_Myog_60hr_MT_peak_39723_lociStitched	chr8	126666384	126736477	11	2898	29432.0507	5992.9515
25_Myog_60hr_MT_peak_39754_lociStitched	chr8	126819427	126887839	25	6386	63712.0956	5951.844
22_Myog_60hr_MT_peak_28348_lociStitched	chr4	120223152	120291382	22	7301	27912.893	6345.39
19_Myog_60hr_MT_peak_6023_lociStitched	chr11	61014238	61081859	19	5443	14883.3821	6363.1361
22_Myog_60hr_MT_peak_8369_lociStitched	chr11	120206990	120273931	22	5121	31576.0697	7149.2988
18_Myog_60hr_MT_peak_28843_lociStitched	chr4	134579361	134645834	18	4755	22215.2766	5636.9104
16_Myog_60hr_MT_peak_34055_lociStitched	chr6	128232061	128297384	16	5732	20184.807	6238.3465
