#Myog_60hr_MT_peaks Enhancers
#Created from DYSE_OUT_1906232025_2/ROSE_OUTPUT/Myog_60hr_MT_peaks/Myog_60hr_MT_peaks_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by X2d_myotH3K27ac.bam
#Using cutoff of 5524.7346 for Super-Enhancers
#Created on Jun 23 2019 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X2d_myotH3K27ac.bam	Input_MT_2d.bam	enhancerRank	isSuper
11_Myog_60hr_MT_peak_20571_lociStitched	chr19	5809099	5850436	11	4056	89788.0977	5167.125	1	1
25_Myog_60hr_MT_peak_39754_lociStitched	chr8	126819427	126887839	25	6386	63712.0956	5951.844	2	1
17_Myog_60hr_MT_peak_16810_lociStitched	chr16	92928346	93008265	17	5103	62712.4393	8695.1872	3	1
16_Myog_60hr_MT_peak_9527_lociStitched	chr12	86796031	86836918	16	4095	53705.0745	4391.2638	4	1
7_Myog_60hr_MT_peak_14136_lociStitched	chr15	66877835	66906657	7	2790	52245.6394	4046.6088	5	1
22_Myog_60hr_MT_peak_8150_lociStitched	chr11	117949345	118013659	22	6054	54609.0174	6862.3038	6	1
18_Myog_60hr_MT_peak_14488_lociStitched	chr15	77784150	77820389	18	5664	50854.1887	5276.3984	7	1
9_Myog_60hr_MT_peak_20752_lociStitched	chr19	9053174	9082725	9	1647	49296.9782	3735.2464	8	1
8_Myog_60hr_MT_peak_18725_lociStitched	chr17	70738208	70755926	8	1964	46881.828	2193.4884	9	1
12_Myog_60hr_MT_peak_16233_lociStitched	chr16	30490853	30533225	12	3130	48668.4792	4576.176	10	1
17_Myog_60hr_MT_peak_13996_lociStitched	chr15	58976647	59018872	17	3967	50023.9575	6308.415	11	1
15_Myog_60hr_MT_peak_38491_lociStitched	chr8	88254641	88317518	15	4360	52357.6779	8658.1629	12	1
9_Myog_60hr_MT_peak_32197_lociStitched	chr5	149374091	149401684	9	1598	45776.787	3189.7508	13	1
22_Myog_60hr_MT_peak_39000_lociStitched	chr8	111693253	111771878	22	7096	47646.75	6651.675	14	1
6_Myog_60hr_MT_peak_25312_lociStitched	chr3	41172724	41195651	6	1281	43274.7125	2570.1167	15	1
17_Myog_60hr_MT_peak_39718_lociStitched	chr8	126565341	126616122	17	5651	44687.28	4351.9317	16	1
10_Myog_60hr_MT_peak_17627_lociStitched	chr17	26567883	26618585	10	2316	43705.124	5683.6942	17	1
11_Myog_60hr_MT_peak_13761_lociStitched	chr15	38447295	38474952	11	4334	40901.9373	3753.0549	18	1
8_Myog_60hr_MT_peak_14506_lociStitched	chr15	77876047	77890313	8	2218	39255.7522	2129.9138	19	1
7_Myog_60hr_MT_peak_4786_lociStitched	chr10	118979295	119016448	7	1291	41748.8261	4900.4807	20	1
14_Myog_60hr_MT_peak_15033_lociStitched	chr15	85670195	85725234	14	2794	44273.3716	7672.4366	21	1
8_Myog_60hr_MT_peak_8900_lociStitched	chr12	52824896	52878079	8	1812	42046.4798	5663.9895	22	1
10_Myog_60hr_MT_peak_22897_lociStitched	chr2	60682811	60717743	10	2823	40395.3648	4017.18	23	1
15_Myog_60hr_MT_peak_31058_lociStitched	chr5	111196089	111248293	15	3798	41507.4004	5533.624	24	1
12_Myog_60hr_MT_peak_9531_lociStitched	chr12	86859889	86898613	12	3919	38522.6352	4023.4236	25	1
16_Myog_60hr_MT_peak_8055_lociStitched	chr11	117216808	117276404	16	4670	40620.6336	6275.4588	26	1
7_Myog_60hr_MT_peak_32440_lociStitched	chr6	31073433	31117942	7	1265	38651.6156	4749.1103	27	1
14_Myog_60hr_MT_peak_35223_lociStitched	chr7	46338257	46380963	14	6629	37060.2668	3301.1738	28	1
10_Myog_60hr_MT_peak_6906_lociStitched	chr11	88585491	88622095	10	1989	36596.6792	4015.4588	29	1
12_Myog_60hr_MT_peak_15426_lociStitched	chr15	99796516	99846984	12	3372	39228.7764	6712.244	30	1
3_Myog_60hr_MT_peak_9555_lociStitched	chr12	88211463	88219747	3	623	33331.5024	1806.7404	31	1
10_Myog_60hr_MT_peak_26465_lociStitched	chr3	121464999	121512558	10	2428	36720.3039	5298.0726	32	1
12_Myog_60hr_MT_peak_10949_lociStitched	chr13	51960346	51994398	12	3343	34978.2144	3602.7016	33	1
46_Myog_60hr_MT_peak_34041_lociStitched	chr6	127953194	128117435	46	11340	46003.9041	14765.2659	34	1
