REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	4d_myotH3K27ac.bam	Input_MT_5d.bam
2_Tead4mt_peak_207_lociStitched	chr2	60627503	60639914	2	552	9422.4312	2468.5479
2_Tead4mt_peak_97_lociStitched	chr13	51968870	51976223	2	536	5457.3966	1028.6847
2_Tead4mt_peak_141_lociStitched	chr15	66877875	66884059	2	570	5885.9312	867.6152
2_Tead4mt_peak_163_lociStitched	chr17	70993590	70998255	2	487	5305.5045	510.8175
2_Tead4mt_peak_173_lociStitched	chr18	16741012	16745360	2	497	3175.7792	707.4196
1_Tead4mt_peak_126_lociStitched	chr15	28133347	28133846	1	500	759.0289	164.171
1_Tead4mt_peak_18_lociStitched	chr1	163691729	163692167	1	439	368.139	72.9708
1_Tead4mt_peak_235_lociStitched	chr3	58372486	58372893	1	408	394.1388	83.7606
1_Tead4mt_peak_345_lociStitched	chr8	127257381	127257765	1	385	273.3312	132.5184
1_Tead4mt_peak_118_lociStitched	chr14	99499517	99499899	1	383	260.4858	89.6172
1_Tead4mt_peak_9_lociStitched	chr1	131062777	131063156	1	380	153.4571	79.0594
1_Tead4mt_peak_7_lociStitched	chr1	88995031	88995407	1	377	274.4424	51.8504
1_Tead4mt_peak_156_lociStitched	chr17	45616224	45616587	1	364	579.5658	78.2628
1_Tead4mt_peak_55_lociStitched	chr10	98508550	98508909	1	360	646.918	92.5502
1_Tead4mt_peak_251_lociStitched	chr3	138103730	138104087	1	358	253.1487	84.4662
1_Tead4mt_peak_25_lociStitched	chr1	180510341	180510697	1	357	166.9996	56.0344
1_Tead4mt_peak_203_lociStitched	chr2	45283085	45283432	1	348	88.9014	32.7915
1_Tead4mt_peak_108_lociStitched	chr13	114447216	114447561	1	346	276.759	68.4825
1_Tead4mt_peak_137_lociStitched	chr15	64513711	64514051	1	341	100.266	43.248
1_Tead4mt_peak_363_lociStitched	chrX	103541089	103541428	1	340	236.1474	52.8162
1_Tead4mt_peak_147_lociStitched	chr16	52095652	52095990	1	339	281.723	80.2074
1_Tead4mt_peak_115_lociStitched	chr14	54107240	54107574	1	335	290.079	37.6418
1_Tead4mt_peak_362_lociStitched	chrX	94169362	94169696	1	335	110.0196	27.1542
1_Tead4mt_peak_42_lociStitched	chr10	43116200	43116533	1	334	369.63	79.4205
1_Tead4mt_peak_233_lociStitched	chr3	53109878	53110210	1	333	274.7632	55.4108
1_Tead4mt_peak_144_lociStitched	chr16	24733373	24733701	1	329	167.7392	54.0216
1_Tead4mt_peak_177_lociStitched	chr18	56899542	56899864	1	323	256.9238	40.1212
1_Tead4mt_peak_252_lociStitched	chr3	144664917	144665238	1	322	289.4136	30.816
1_Tead4mt_peak_114_lociStitched	chr14	47634383	47634704	1	322	187.8171	51.4563
1_Tead4mt_peak_296_lociStitched	chr5	111890856	111891176	1	321	166.048	52.8
1_Tead4mt_peak_309_lociStitched	chr6	72976848	72977168	1	321	407.936	51.52
1_Tead4mt_peak_225_lociStitched	chr3	21798254	21798572	1	319	205.1736	60.5154
1_Tead4mt_peak_146_lociStitched	chr16	32859212	32859530	1	319	445.3908	52.7562
1_Tead4mt_peak_58_lociStitched	chr10	111936802	111937118	1	317	372.5008	41.7436
1_Tead4mt_peak_291_lociStitched	chr5	47322716	47323032	1	317	95.906	43.3236
1_Tead4mt_peak_85_lociStitched	chr13	17603703	17604016	1	314	304.1734	40.6274
1_Tead4mt_peak_17_lociStitched	chr1	160053887	160054200	1	314	293.0619	48.0768
1_Tead4mt_peak_157_lociStitched	chr17	45944971	45945282	1	312	325.8969	66.7717
1_Tead4mt_peak_287_lociStitched	chr5	29894639	29894950	1	312	192.9444	57.3795
1_Tead4mt_peak_338_lociStitched	chr8	74870464	74870775	1	312	220.0636	74.5778
1_Tead4mt_peak_313_lociStitched	chr6	113480977	113481288	1	312	332.1169	84.2188
1_Tead4mt_peak_350_lociStitched	chr9	57601307	57601618	1	312	206.5973	68.8865
