GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS
Mir181c	NR_029821	chr8:84183034-84192387	1
Zswim4	NM_172503	chr8:84183034-84192387	1
Mir181d	NR_030534	chr8:84183034-84192387	1
4930432K21Rik	NM_001163752	chr8:84183034-84192387	1
Nanos3	NM_194059	chr8:84183034-84192387	1
Cc2d1a	NM_145970	chr8:84183034-84192387	1
Mir3074-2	NR_037294	chr8:84183034-84192387	1
Mir24-2	NR_029741	chr8:84183034-84192387	1
Mir23a	NR_029740	chr8:84183034-84192387	1
Mir27a	NR_029746	chr8:84183034-84192387	1
Nfic	NM_026756	chr10:81409643-81422056	2
4930404N11Rik	NM_001014836	chr10:81409643-81422056	2
Fzr1	NM_019757	chr10:81409643-81422056	2
Dohh	NM_133964	chr10:81409643-81422056	2
2210404O07Rik	NM_001099917	chr10:81409643-81422056	2
Nfix	NM_001081982	chr8:84730857-84761259	2
Lyl1	NM_008535	chr8:84730857-84761259	2
Trmt1	NM_001164559	chr8:84730857-84761259	2
Nacc1	NM_025788	chr8:84730857-84761259	2
Lama5	NM_001081171	chr2:180217649-180228820	3
Adrm1	NM_019822	chr2:180217649-180228820	3
Cables2	NM_145851	chr2:180217649-180228820	3
Rps21	NM_025587	chr2:180217649-180228820	3
Mir3091	NR_037274	chr2:180217649-180228820	3
Epha2	NM_010139	chr4:141272903-141275222	3
Arhgef19	NM_172520	chr4:141272903-141275222	3
E2f2	NM_177733	chr4:136165123-136177954	4
Asap3	NM_001008232	chr4:136165123-136177954	4
Id3	NM_008321	chr4:136165123-136177954	4
Adcy7	NM_001109756	chr8:88279323-88298634	4
Mirlet7c-2	NR_029729	chr15:85668261-85685082	5
Mirlet7b	NR_029727	chr15:85668261-85685082	5
Mertk	NM_008587	chr2:128729381-128759186	5
Anapc1	NM_008569	chr2:128729381-128759186	5
Kif5c	NM_008449	chr2:49733257-49750235	6
Lypd6b	NM_027990	chr2:49733257-49750235	6
Synpo	NM_177340	chr18:60604534-60618766,chr18:60669243-60672957	55,7
G630071F17Rik	NR_045401	chr18:60669243-60672957,chr18:60604534-60618766	55,7
Ndst1	NM_008306	chr18:60669243-60672957	7
Pmepa1	NM_022995	chr2:173258018-173265070	7
Zbp1	NM_021394	chr2:173258018-173265070	7
Mir133b	NR_029902	chr1:20670056-20672723	8
Mir206	NR_029593	chr1:20670056-20672723	8
Cd82	NM_001271461	chr2:93458751-93469453	8
Gm10804	NR_040532	chr2:93458751-93469453	8
Tg	NM_009375	chr15:66815446-66818980,chr15:66843989-66894303,chr15:66843989-66894303	417,9,9
Sla	NM_001029841	chr15:66815446-66818980,chr15:66843989-66894303,chr15:66843989-66894303	417,9,9
Wisp1	NM_018865	chr15:66843989-66894303,chr15:66843989-66894303	9,9
Nmt1	NM_008707	chr11:102984726-102988634,chr11:102998802-103003580	319,10
2410004I01Rik	NR_037963	chr11:102984726-102988634,chr11:102998802-103003580	319,10
Dcakd	NM_026551	chr11:102998802-103003580,chr11:102984726-102988634	319,10
Ube2v1	NM_023230	chr2:167569868-167591807	10
Snai1	NM_011427	chr2:167569868-167591807	10
Fam129b	NM_146119	chr2:32869759-32882918	11
Stxbp1	NM_009295	chr2:32869759-32882918	11
Sorbs2	NM_001205219	chr8:45576190-45607349	11
Myh9	NM_022410	chr15:77806605-77824055,chr15:77876081-77888628	12,20
Zmiz1	NM_183208	chr14:25476092-25505629,chr14:25519774-25527655	13,117
Mir3075	NR_037236	chr14:25476092-25505629,chr14:25519774-25527655	13,117
Gm12603	NR_033533	chr4:89031560-89072644	13
1700045H11Rik	NR_040649	chr4:150798845-150808884	13
Errfi1	NM_133753	chr4:150798845-150808884	13
Mir29b-1	NR_029532	chr6:31077077-31100528	14
Mir29a	NR_029744	chr6:31077077-31100528	14
Zfp568	NM_001167873	chr7:29999749-30009995	14
Zfp14	NM_011748	chr7:29999749-30009995	14
Zfp74	NM_178384	chr7:29999749-30009995	14
Dagla	NM_198114	chr19:10279719-10301547	15
Myrf	NM_001033481	chr19:10279719-10301547	15
4933433G15Rik	NR_040719	chr9:75416193-75425218	15
Mapk6	NM_015806	chr9:75416193-75425218	15
Leo1	NM_001039522	chr9:75416193-75425218	15
Lad1	NM_133664	chr1:135759845-135771892,chr1:135844420-135864056	80,16
Tnni1	NM_001112702	chr1:135759845-135771892,chr1:135844420-135864056	80,16
Tnnt2	NM_001130175	chr1:135844420-135864056	16
Rasa3	NM_009025	chr8:13614957-13624185	16
Myo10	NM_019472	chr15:25637845-25653183,chr15:25761834-25775003	216,17
Atp6v1c1	NM_025494	chr15:38699924-38712338	17
Pld4	NM_178911	chr12:112795978-112806406	18
Cdca4	NM_028023	chr12:112795978-112806406	18
BC022687	NM_145450	chr12:112795978-112806406	18
Dlgap1	NM_027712	chr17:70706928-70738878	19
Txn2	NM_019913	chr15:77876081-77888628	20
Zcchc24	NM_001101433	chr14:25747651-25749964	21
Ppifos	NR_028021	chr14:25747651-25749964	21
Snord12	NR_028540	chr2:167076486-167079775	21
1500012F01Rik	NM_001081005	chr2:167076486-167079775	21
Znfx1	NM_001033196	chr2:167076486-167079775	21
Cdc42ep1	NM_027219	chr15:78834252-78852085	22
Lgals2	NM_025622	chr15:78834252-78852085	22
Card10	NM_130859	chr15:78834252-78852085	22
Gga1	NM_145929	chr15:78834252-78852085	22
Sh3bp1	NM_009164	chr15:78834252-78852085	22
Sfxn2	NM_053196	chr19:46518616-46524056	22
Arl3	NM_019718	chr19:46518616-46524056	22
Trim8	NM_053100	chr19:46518616-46524056	22
Stim2	NM_001081103	chr5:53937350-53950610	22
Celf4	NM_001146294	chr18:25510710-25525906	23
Hspg2	NM_008305	chr4:137485622-137501243	23
1700013G24Rik	NM_027063	chr4:137485622-137501243	23
Syne3	NM_001042699	chr12:104992336-105026676	24
Glrx5	NM_028419	chr12:104992336-105026676	24
Snhg10	NR_003145	chr12:104992336-105026676	24
Mir3069	NR_037229	chr12:104992336-105026676	24
Scarna13	NR_028576	chr12:104992336-105026676	24
E2f8	NM_001013368	chr7:48878135-48884222	24
Csrp3	NM_013808	chr7:48878135-48884222	24
Map3k14	NM_016896	chr11:103235821-103246601,chr11:103300937-103306857	25,231
1700023F06Rik	NM_001254724	chr11:103235821-103246601	25
Spata32	NM_177801	chr11:103235821-103246601	25
Shb	NM_001033306	chr4:45455057-45475209,chr4:45489372-45514303,chr4:45489372-45514303	69,25,25
Cdon	NM_021339	chr9:35414212-35435630	25
Unc5b	NM_029770	chr10:60813597-60822911	27
Arl6ip5	NM_022992	chr6:97216086-97223494	27
Tmf1	NM_001081111	chr6:97216086-97223494	27
Lmod3	NM_001081157	chr6:97216086-97223494	27
Uba3	NM_001111106	chr6:97216086-97223494	27
Btd	NM_025295	chr14:31659682-31669527	28
Hacl1	NM_019975	chr14:31659682-31669527	28
Kirrel3	NM_001190913	chr9:34989892-35003613	28
1600002D24Rik	NR_040484	chr16:95831594-95845116	29
Mylk2	NM_001081044	chr2:152903634-152927791	29
Ttll9	NM_001083618	chr2:152903634-152927791	29
Foxs1	NM_010226	chr2:152903634-152927791	29
Dusp15	NM_145744	chr2:152903634-152927791	29
Msi2	NM_054043	chr11:88551112-88559770,chr11:88599490-88605537	30,46
Gsto2	NM_030051	chr19:47882628-47892260	30
Itprip	NM_001001738	chr19:47882628-47892260	30
Wdr96	NM_027559	chr19:47882628-47892260	30
Gsto1	NM_010362	chr19:47882628-47892260	30
Ccdc147	NM_001163267	chr19:47882628-47892260	30
Sept11	NM_001009818	chr5:93126914-93133980	30
Uqcc	NM_018888	chr2:155877786-155886899	31
Fam83c	NM_027788	chr2:155877786-155886899	31
Plxna1	NM_008881	chr6:89345075-89348110	31
Runx1	NM_009821	chr16:92608289-92631893	34
Prrc2b	NM_172661	chr2:32167996-32174532	35
Nuak2	NM_028778	chr1:132335436-132356145	36
Klhdc8a	NM_144810	chr1:132335436-132356145	36
Tmcc2	NM_178874	chr1:132335436-132356145	36
Ppfibp1	NM_001170433	chr6:146908940-146918709,chr6:146950222-146959985	36,218
1700034J05Rik	NM_001164236	chr6:146950222-146959985,chr6:146908940-146918709	36,218
Ltbp2	NM_013589	chr12:84784587-84794932	38
Npc2	NM_023409	chr12:84784587-84794932	38
Isca2	NM_028863	chr12:84784587-84794932	38
