GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS
Bin1	NM_001083334	chr18:32340200-32348662	23
A830052D11Rik	NR_045403	chr18:32340200-32348662	23
B230312C02Rik	NR_040745	chr2:180362577-180377012	29
Gm6307	NR_045331	chr2:180362577-180377012	29
Mir1a-1	NR_029528	chr2:180362577-180377012	29
Gm14318	NR_045877	chr2:180362577-180377012	29
Mir133a-2	NR_029901	chr2:180362577-180377012	29
Gata5	NM_008093	chr2:180362577-180377012	29
Adamts14	NM_001081127	chr10:61226885-61249065	30
Prf1	NM_011073	chr10:61226885-61249065	30
Slc4a3	NM_009208	chr1:75538762-75561935	32
Inha	NM_010564	chr1:75538762-75561935	32
Stk11ip	NM_027886	chr1:75538762-75561935	32
Obsl1	NM_178884	chr1:75538762-75561935	32
Pdzrn3	NM_018884	chr6:101318688-101326659,chr6:101327826-101345217	500,43
Cux1	NM_009986	chr5:136290014-136312379,chr5:136456436-136475419	52,182
Sh2b2	NM_018825	chr5:136290014-136312379	52
Zhx2	NM_199449	chr15:57717499-57719603	55
Asprv1	NM_026414	chr6:86598812-86620314	63
Mxd1	NM_010751	chr6:86598812-86620314	63
Aqr	NM_009702	chr2:114130208-114144163	68
1500017E21Rik	NR_033510	chr19:36682573-36698476	72
Ppp1r3c	NM_016854	chr19:36682573-36698476	72
Abcc1	NM_008576	chr16:14371392-14381321,chr16:14444970-14457387	73,678
Nav2	NM_001111016	chr7:49334215-49343570,chr7:49359272-49397976	362,76
Kifc3	NM_010631	chr8:95149582-95163110	84
Abhd4	NM_001205181	chr14:54222279-54227803	95
Dad1	NM_001113358	chr14:54222279-54227803	95
Casz1	NM_027195	chr4:148900039-148913087	98
Ubash3b	NM_176860	chr9:41078368-41092384,chr9:41105396-41118395	478,98
Pip4k2b	NM_054051	chr11:97716330-97728563	99
Pcgf2	NM_001163308	chr11:97716330-97728563	99
Cwc25	NM_026186	chr11:97716330-97728563	99
Psmb3	NM_011971	chr11:97716330-97728563	99
1700001P01Rik	NM_028156	chr11:97716330-97728563	99
Cisd3	NM_001085500	chr11:97716330-97728563	99
Ttll5	NM_001081423	chr12:85958506-85960058,chr12:86036300-86039961	460,102
Ift43	NM_001199843	chr12:86036300-86039961	102
Tgfb3	NM_009368	chr12:86036300-86039961	102
Afap1l1	NM_178928	chr18:61774485-61790238,chr18:61805302-61830924	265,104
Ablim3	NM_198649	chr18:61805302-61830924,chr18:61849979-61852331	104,535
Vps37c	NM_181403	chr19:10691568-10721218	105
Cd5	NM_007650	chr19:10691568-10721218	105
4930524O05Rik	NR_045316	chr19:10691568-10721218	105
A430093F15Rik	NR_027805	chr19:10691568-10721218	105
