GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS
Dlgap1	NM_027712	chr17:70720728-70755940,chr17:70791629-70798102	1,262
2310001H17Rik	NR_040268	chr6:129215386-129242258	3
Clec2d	NM_053109	chr6:129215386-129242258	3
Cd69	NM_001033122	chr6:129215386-129242258	3
2010111I01Rik	NM_028079	chr13:63106752-63112865,chr13:63245355-63253440	4,238
Myh9	NM_022410	chr15:77784150-77798909	7
Apol8	NM_001081970	chr15:77784150-77798909	7
Ahnak	NM_001039959	chr19:9053174-9080175	8
Scgb1a1	NM_011681	chr19:9053174-9080175	8
1700027A15Rik	NR_038002	chr1:72944244-72989461,chr1:72944244-72989461	10,10
Tnp1	NM_009407	chr1:72944244-72989461,chr1:72944244-72989461	10,10
Mir1195	NR_035427	chr16:30490853-30518321	10
Tmem44	NM_172614	chr16:30490853-30518321	10
Mtss1	NM_001146180	chr15:58976647-59007080,chr15:59047928-59071661	11,364
Ndufb9	NM_023172	chr15:58976647-59007080	11
Tatdn1	NM_175151	chr15:58976647-59007080	11
Popdc3	NM_024286	chr10:45299115-45312001	12
Bves	NM_024285	chr10:45299115-45312001	12
Bcar1	NM_001198839	chr8:111693253-111771878	14
Cfdp1	NM_011801	chr8:111693253-111771878	14
Zfp1	NM_001037665	chr8:111693253-111771878	14
Ctrb1	NM_025583	chr8:111693253-111771878	14
Syne3	NM_001042699	chr12:104966423-105005810,chr12:104966423-105005810	15,15
Glrx5	NM_028419	chr12:104966423-105005810,chr12:104966423-105005810	15,15
Snhg10	NR_003145	chr12:104966423-105005810,chr12:104966423-105005810	15,15
Mir3069	NR_037229	chr12:104966423-105005810,chr12:104966423-105005810	15,15
Scarna13	NR_028576	chr12:104966423-105005810,chr12:104966423-105005810	15,15
Sh3glb1	NM_019464	chr3:144664896-144680114	16
Deptor	NM_001037937	chr15:55119422-55139661	17
Taf2	NM_001081288	chr15:55119422-55139661	17
Gm9920	NR_045093	chr15:55119422-55139661	17
Dscc1	NM_183089	chr15:55119422-55139661	17
Ergic1	NM_026170	chr17:26567883-26585191	17
Tubd1	NM_019756	chr11:86568637-86580620	21
Mir21	NR_029738	chr11:86568637-86580620	21
Rps6kb1	NM_001114334	chr11:86568637-86580620	21
Itgb6	NM_021359	chr2:60600970-60646906,chr2:60600970-60646906,chr2:60682811-60717726	74,74,23
Slc44a3	NM_145394	chr3:121464917-121481972	23
Cnn3	NM_028044	chr3:121464917-121481972	23
Irf2bpl	NM_145836	chr12:86859889-86897466	25
2310044G17Rik	NM_173735	chr12:86859889-86897466	25
Sept9	NM_001113486	chr11:117216808-117276404	26
Palm2	NM_172868	chr4:57537823-57560364	28
1700065J18Rik	NR_040468	chr1:192778291-192807163	29
Sertad4	NM_198247	chr1:192778291-192807163	29
Hhat	NM_144881	chr1:192778291-192807163	29
Rnf217	NM_001146349	chr10:31573334-31604178	29
Msi2	NM_054043	chr11:88484266-88528855,chr11:88551000-88559860,chr11:88585491-88608877,chr11:88585491-88608877	253,294,29,29
Lima1	NM_023063	chr15:99796516-99847027,chr15:99796516-99847027	30,30
Cers5	NM_028015	chr15:99796516-99847027,chr15:99796516-99847027	30,30
Tspan9	NM_175414	chr6:127953194-128085978,chr6:127953194-128085978,chr6:127953194-128085978	34,34,34
