#MyoD_2d_MT_peaks Enhancers
#Created from DYSE_OUT_1906232345_1/ROSE_OUTPUT/MyoD_2d_MT_peaks/MyoD_2d_MT_peaks_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by X2d_myotH3K27ac.bam
#Using cutoff of 4871.4996 for Super-Enhancers
#Created on Jun 24 2019 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X2d_myotH3K27ac.bam	Input_MT_2d.bam	enhancerRank	isSuper
9_MyoD_2d_MT_peak_7166_lociStitched	chr17	70720728	70755888	9	2178	80913.708	4198.104	1	1
3_MyoD_2d_MT_peak_7905_lociStitched	chr19	5837034	5850418	3	1038	54923.9208	1804.1632	2	1
10_MyoD_2d_MT_peak_6683_lociStitched	chr17	7620257	7664506	10	2267	52647.4602	5256.7812	3	1
5_MyoD_2d_MT_peak_10628_lociStitched	chr4	59315270	59332032	5	1287	48509.228	1981.2684	4	1
6_MyoD_2d_MT_peak_14696_lociStitched	chr8	126826538	126859956	6	1447	42978.8898	2900.6824	5	1
8_MyoD_2d_MT_peak_3688_lociStitched	chr12	86800849	86834632	8	2186	43296.2928	3597.8895	6	1
6_MyoD_2d_MT_peak_7939_lociStitched	chr19	9059105	9080175	6	1591	40637.709	2707.495	7	1
5_MyoD_2d_MT_peak_5613_lociStitched	chr15	58981968	59007080	5	1204	39820.0984	3817.024	8	1
5_MyoD_2d_MT_peak_9659_lociStitched	chr3	41182242	41195330	5	1528	36124.1888	1581.0304	9	1
8_MyoD_2d_MT_peak_6557_lociStitched	chr16	92930186	92979865	8	2127	37944.8202	5300.7493	10	1
4_MyoD_2d_MT_peak_5787_lociStitched	chr15	77876081	77888608	4	785	33460.8697	1843.9744	11	1
4_MyoD_2d_MT_peak_1517_lociStitched	chr10	45299115	45315147	4	1056	33907.68	2457.7056	12	1
6_MyoD_2d_MT_peak_8718_lociStitched	chr2	60688914	60717726	6	1272	34542.7068	3287.4492	13	1
7_MyoD_2d_MT_peak_11374_lociStitched	chr5	21482596	21505474	7	1297	33536.8602	2855.1744	14	1
10_MyoD_2d_MT_peak_3801_lociStitched	chr12	104966423	105005525	10	2717	34007.0094	4508.4606	15	1
4_MyoD_2d_MT_peak_10307_lociStitched	chr3	144664896	144680050	4	1150	30747.466	1653.3014	16	1
3_MyoD_2d_MT_peak_12173_lociStitched	chr5	149377276	149389872	3	842	29919.2788	1438.4632	17	1
6_MyoD_2d_MT_peak_315_lociStitched	chr1	72945889	72979367	6	1832	31643.4056	3692.6234	18	1
8_MyoD_2d_MT_peak_7356_lociStitched	chr18	5133267	5166993	8	1695	30626.5806	3173.6166	19	1
6_MyoD_2d_MT_peak_4262_lociStitched	chr13	51962392	51980749	6	1726	29189.4657	2022.9414	20	1
3_MyoD_2d_MT_peak_2727_lociStitched	chr11	86568637	86578416	3	586	27485.8353	1268.3363	21	1
6_MyoD_2d_MT_peak_4391_lociStitched	chr13	70676288	70685590	6	1641	27093.0052	1078.1018	22	1
5_MyoD_2d_MT_peak_399_lociStitched	chr1	81726757	81756013	5	1243	29203.3392	3361.5144	23	1
6_MyoD_2d_MT_peak_4351_lociStitched	chr13	60405110	60431517	6	1730	28577.6554	2870.4409	24	1
7_MyoD_2d_MT_peak_15114_lociStitched	chr9	58295699	58331555	7	1995	28469.664	3194.7696	25	1
2_MyoD_2d_MT_peak_2039_lociStitched	chr10	118989905	119001728	2	414	26692.7871	1658.7669	26	1
6_MyoD_2d_MT_peak_11837_lociStitched	chr5	111877239	111891559	6	1848	26361.688	1837.256	27	1
3_MyoD_2d_MT_peak_10604_lociStitched	chr4	57537823	57560402	3	772	26742.5676	2567.2323	28	1
