#Pbx1mt_peaks Enhancers
#Created from DYSE_OUT_1906232345_1/ROSE_OUTPUT/Pbx1mt_peaks/Pbx1mt_peaks_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by X2d_myotH3K27ac.bam
#Using cutoff of 3425.3384 for Super-Enhancers
#Created on Jun 24 2019 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X2d_myotH3K27ac.bam	Input_MT_2d.bam	enhancerRank	isSuper
5_Pbx1mt_peak_7459_lociStitched	chr17	70728892	70755940	5	1032	63338.3016	3218.712	1	1
7_Pbx1mt_peak_7087_lociStitched	chr17	7620199	7665978	7	1902	56857.518	5479.7463	2	1
6_Pbx1mt_peak_14298_lociStitched	chr6	129215386	129242258	6	1839	47066.308	3133.2752	3	1
10_Pbx1mt_peak_3917_lociStitched	chr13	63106752	63136304	10	3565	42791.296	3235.944	4	1
4_Pbx1mt_peak_4027_lociStitched	chr13	70668620	70685510	4	1475	38546.358	1797.096	5	1
8_Pbx1mt_peak_19377_lociStitched	chrX	96113165	96135979	8	2862	38019.531	2858.5942	6	1
4_Pbx1mt_peak_9404_lociStitched	chr2	115764690	115781013	4	2110	33215.6727	1909.791	7	1
5_Pbx1mt_peak_6141_lociStitched	chr15	66842975	66867583	5	951	34645.6032	3521.4048	8	1
10_Pbx1mt_peak_6000_lociStitched	chr15	62314655	62344029	10	2653	34711.2558	4315.0406	9	1
8_Pbx1mt_peak_506_lociStitched	chr1	72944244	72979368	8	2289	33743.6268	3912.8136	10	1
5_Pbx1mt_peak_4374_lociStitched	chr13	110913704	110944390	5	1339	32858.5688	3271.1276	11	1
10_Pbx1mt_peak_11856_lociStitched	chr4	123588818	123625939	10	2746	33720.7164	4176.1125	12	1
7_Pbx1mt_peak_13004_lociStitched	chr5	21482438	21503276	7	2353	30875.6646	2540.1522	13	1
10_Pbx1mt_peak_91_lociStitched	chr1	20655121	20686231	10	6173	31617.093	3291.438	14	1
