CHROM	START	END	REGION_ID	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank
chr17	70720728	70755940	9_MyoD_2d_MT_peak_7166_lociStitched, 5_Pbx1mt_peak_7459_lociStitched	Dlgap1		Tgif1	1, 1
chr17	7620199	7664506	7_Pbx1mt_peak_7087_lociStitched, 10_MyoD_2d_MT_peak_6683_lociStitched			Fndc1	2, 3
chr8	126819427	126859956	25_Myog_60hr_MT_peak_39754_lociStitched, 6_MyoD_2d_MT_peak_14696_lociStitched			Tomm20	2, 5
chr16	92928346	92979865	17_Myog_60hr_MT_peak_16810_lociStitched, 8_MyoD_2d_MT_peak_6557_lociStitched			Runx1	3, 10
chr6	129215386	129242258	6_Pbx1mt_peak_14298_lociStitched	2310001H17Rik	Clec2d,2310001H17Rik,Cd69	2310001H17Rik	3
chr12	86796031	86834632	16_Myog_60hr_MT_peak_9527_lociStitched, 8_MyoD_2d_MT_peak_3688_lociStitched			Irf2bpl	4, 6
chr13	63106752	63112865	10_Pbx1mt_peak_3917_lociStitched, 3_MyoD_2d_MT_peak_4369_lociStitched	2010111I01Rik		2010111I01Rik	4, 133
chr19	9053174	9080175	9_Myog_60hr_MT_peak_20752_lociStitched, 6_MyoD_2d_MT_peak_7939_lociStitched	Ahnak	Scgb1a1	Scgb1a1	8, 7
chr15	62314655	62344029	10_Pbx1mt_peak_6000_lociStitched			H2afy3	9
chr1	72944244	72989461	8_Pbx1mt_peak_506_lociStitched, 15_Myog_60hr_MT_peak_682_lociStitched		1700027A15Rik,Tnp1	Tnp1	10, 35
chr1	72944244	72989461	8_Pbx1mt_peak_506_lociStitched, 15_Myog_60hr_MT_peak_682_lociStitched		1700027A15Rik,Tnp1	Tnp1	10, 35
chr16	30490853	30518321	12_Myog_60hr_MT_peak_16233_lociStitched, 3_MyoD_2d_MT_peak_6290_lociStitched	Mir1195,Tmem44		Tmem44	10, 246
chr15	58976647	59007080	17_Myog_60hr_MT_peak_13996_lociStitched, 5_MyoD_2d_MT_peak_5613_lociStitched	Mtss1	Ndufb9,Tatdn1	Ndufb9	11, 8
chr10	45299115	45312001	4_MyoD_2d_MT_peak_1517_lociStitched, 3_Pbx1mt_peak_1922_lociStitched	Popdc3	Bves	Popdc3	12, 49
chr8	111693253	111771878	22_Myog_60hr_MT_peak_39000_lociStitched	Bcar1,Cfdp1	Zfp1,Ctrb1	Bcar1	14
