GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS
Csf2ra	NM_009970	chr19:61259872-61267654	1
Zfhx4	NM_030708	chr3:5212354-5236804	4
2700069I18Rik	NR_045905	chr3:5212354-5236804	4
Gpr56	NM_001198894	chr8:94989827-95023574	6
Gpr97	NM_173036	chr8:94989827-95023574	6
Ccdc135	NM_001042715	chr8:94989827-95023574	6
Tns1	NM_027884	chr1:74001579-74028932	8
Hist1h2br	NM_001110555	chr13:21824785-21834526	8
Hist1h4n	NM_175657	chr13:21824785-21834526	8
Hist1h2ao	NM_001177544	chr13:21824785-21834526	8
Hist1h2ap	NM_178185	chr13:21824785-21834526	8
Hist1h4m	NM_001195421	chr13:21824785-21834526	8
Hist1h3i	NM_178207	chr13:21824785-21834526	8
Hist1h1b	NM_020034	chr13:21824785-21834526	8
Hist1h2an	NM_178184	chr13:21824785-21834526	8
Hist1h2bp	NM_178202	chr13:21824785-21834526	8
Lrch1	NM_001252132	chr14:74852933-74867291	9
9130019P16Rik	NR_033635	chr6:54369999-54370091	10
Prr15	NM_030024	chr6:54369999-54370091	10
Dpy19l1	NM_172920	chr9:24541954-24542161	10
Mir3089	NR_037272	chr2:30693404-30693502,chr2:30760741-30772948	11,341
Ktn1	NM_008477	chr14:47634498-47638409,chr14:47638753-47648153	263,12
Rab40c	NM_139154	chr17:25914084-25923027	12
Solh	NM_015830	chr17:25914084-25923027	12
Nhlrc4	NM_001039038	chr17:25914084-25923027	12
Gm10012	NR_028042	chr17:25914084-25923027	12
Wfikkn1	NM_001100454	chr17:25914084-25923027	12
0610011F06Rik	NM_026686	chr17:25914084-25923027	12
Pigq	NM_011822	chr17:25914084-25923027	12
Fam195a	NM_026633	chr17:25914084-25923027	12
4933407K13Rik	NR_029443	chrX:75734752-75734838	13
Zfp655	NM_001083958	chr5:145280466-145280552	14
Zscan25	NM_001081431	chr5:145280466-145280552	14
Hoxc10	NM_010462	chr15:102959926-102969297,chr15:102997956-103003043	17,97
Hoxc12	NM_010463	chr15:102959926-102969297	17
Mir196a-2	NR_029722	chr15:102959926-102969297,chr15:102997956-103003043	17,97
Hoxc9	NM_008272	chr15:102959926-102969297,chr15:102997956-103003043	17,97
Hoxc6	NM_010465	chr15:102959926-102969297,chr15:102997956-103003043	17,97
Hoxc8	NM_010466	chr15:102959926-102969297,chr15:102997956-103003043	17,97
Hoxc13	NM_010464	chr15:102959926-102969297	17
Hoxc5	NM_175730	chr15:102959926-102969297,chr15:102997956-103003043	17,97
Hotair	NR_047528	chr15:102959926-102969297	17
Hoxc11	NM_001024842	chr15:102959926-102969297,chr15:102997956-103003043	17,97
Mir615	NR_030526	chr15:102959926-102969297,chr15:102997956-103003043	17,97
Tcf4	NM_013685	chr18:69593265-69593351	18
Nfix	NM_001081982	chr8:84778538-84786832	18
Gadd45gip1	NM_183358	chr8:84778538-84786832	18
Dand5	NR_033145	chr8:84778538-84786832	18
2300009A05Rik	NM_027090	chr9:63395170-63406991	19
Map2k5	NM_011840	chr9:63395170-63406991	19
Cxcr7	NM_007722	chr1:90225823-90238581	20
Pisd-ps1	NR_003517	chr11:3103937-3104038	20
Ltbp2	NM_013589	chr12:84812644-84812772,chr12:84846478-84865149,chr12:84879671-84885358	21,103,210
Npc2	NM_023409	chr12:84812644-84812772	21
Isca2	NM_028863	chr12:84812644-84812772	21
Smad7	NM_001042660	chr18:75363079-75392754,chr18:75342133-75345116	358,21
Slc16a1	NM_009196	chr3:104635260-104645397	23
Ctbp2	NM_009980	chr7:133022681-133035487,chr7:133082280-133100175	375,24
4930483O08Rik	NR_046279	chr7:133082280-133100175	24
Cltb	NM_028870	chr13:54608587-54615611	26
Arl10	NM_019968	chr13:54608587-54615611	26
Higd2a	NM_025933	chr13:54608587-54615611	26
4833439L19Rik	NM_001252645	chr13:54608587-54615611	26
Faf2	NM_178397	chr13:54608587-54615611	26
Nop16	NM_178605	chr13:54608587-54615611	26
Aqp2	NM_009699	chr15:99547651-99554107,chr15:99584861-99596259	344,26
Aqp5	NM_009701	chr15:99584861-99596259,chr15:99547651-99554107	344,26
Aqp6	NM_175087	chr15:99547651-99554107,chr15:99584861-99596259	344,26
Col4a2	NM_009932	chr8:11346307-11348900	27
Col4a1	NM_009931	chr8:11346307-11348900	27
Eny2	NM_175009	chr15:44419662-44432245	29
Nudcd1	NM_001113554	chr15:44419662-44432245	29
Pkhd1l1	NM_138674	chr15:44419662-44432245	29
Bcar3	NM_013867	chr3:122481963-122483726,chr3:122497945-122521542	323,32
Pde4d	NM_011056	chr13:109625456-109633456,chr13:109684178-109691956	349,33
Abi1	NM_145994	chr2:23035176-23045926	34
Acbd5	NM_001102436	chr2:23035176-23045926	34
6430548M08Rik	NM_001163761	chr8:120150116-120152775	34
Zdhhc7	NM_133967	chr8:120150116-120152775	34
Fam92b	NM_001033980	chr8:120150116-120152775	34
Tbc1d1	NM_019636	chr5:64156045-64167642	35
4933433H22Rik	NR_045458	chr17:84070528-84086093	37
Slc37a2	NM_001145960	chr9:37232622-37236257	39
Tmem218	NM_025464	chr9:37232622-37236257	39
Zfp608	NM_175751	chr18:54969659-54993554	42
Morn1	NM_001081100	chr4:155114066-155114273	42
Pex10	NM_001042407	chr4:155114066-155114273	42
Rer1	NM_026395	chr4:155114066-155114273	42
Cubn	NM_001081084	chr2:13370064-13386186	43
A630072M18Rik	NR_030699	chr5:20947182-20956860	45
Rsbn1l	NM_001080977	chr5:20947182-20956860	45
Rbms1	NM_020296	chr2:60807488-60813487	46
Samd4	NM_028966	chr14:46965378-46973581	47
Raly	NM_001139513	chr2:154788588-154794162	48
Srl	NM_175347	chr16:4467431-4478111	49
Adcy9	NM_009624	chr16:4467431-4478111	49
Dusp4	NM_176933	chr8:34804252-34815418	50
Frmd6	NM_028127	chr12:70883335-70891064	51
Actr10	NM_019785	chr12:70883335-70891064	51
Rad52	NM_001166382	chr6:119898187-119907967	53
3110021A11Rik	NR_030776	chr6:119898187-119907967	53
Foxl1	NM_008024	chr8:121124923-121142668	53
Fendrr	NR_045471	chr8:121124923-121142668	53
Foxf1	NM_010426	chr8:121124923-121142668	53
Foxc2	NM_013519	chr8:121124923-121142668	53
Mthfsd	NM_172761	chr8:121124923-121142668	53
Akap7	NM_018747	chr10:25263071-25273986	55
Tas1r2	NM_031873	chr4:139689858-139697995	55
Rfx8	NM_001145660	chr1:39676435-39699741	57
Creg2	NM_170597	chr1:39676435-39699741	57
Tbc1d16	NM_172443	chr11:119209753-119215577	57
Ccdc40	NM_175430	chr11:119209753-119215577	57
Foxp1	NM_001197321	chr6:98938059-98956351,chr6:99160148-99190376	57,160
Fnbp1l	NM_153118	chr3:122613180-122622180	59
Med4	NM_026119	chr14:73504463-73513886	60
Sucla2	NM_011506	chr14:73504463-73513886	60
Nudt15	NM_172527	chr14:73504463-73513886	60
Osbp2	NM_152818	chr11:3846652-3859676	62
4921536K21Rik	NM_026150	chr11:3846652-3859676	62
Dusp18	NM_173745	chr11:3846652-3859676	62
Actb	NM_007393	chr5:142902073-142909970	62
Fbxl18	NM_001033312	chr5:142902073-142909970	62
Zfp697	NM_172863	chr3:98355938-98368553	63
Phgdh	NM_016966	chr3:98355938-98368553	63
Nell2	NM_016743	chr15:95370654-95380297	64
Fam110b	NM_173426	chr4:5793150-5795448	65
Synj2	NM_001113353	chr17:5994675-6016590	66
Lfng	NM_008494	chr5:140600022-140611361	68
Grifin	NM_030022	chr5:140600022-140611361	68
Ttyh3	NM_175274	chr5:140600022-140611361	68
Gm6116	NR_045866	chr5:74973243-74983948	70
E130006D01Rik	NR_045834	chr5:111790675-111810808	70
Hpcal1	NM_016677	chr12:17729696-17757228	72
Slc10a7	NM_029736	chr8:78577779-78586153,chr8:78715001-78717488	495,75
Gcnt4	NM_001166065	chr13:96928438-96940057	76
Pbx3	NM_016768	chr2:34363819-34374619	77
Serpine1	NM_008871	chr5:137061879-137080290	77
Ap1s1	NM_007457	chr5:137061879-137080290	77
Vgf	NM_001039385	chr5:137061879-137080290	77
Trim56	NM_201373	chr5:137061879-137080290	77
Ly6c1	NM_010741	chr15:75086320-75087007	78
Ly6c2	NM_001099217	chr15:75086320-75087007	78
Smurf1	NM_029438	chr5:144898691-144919380	78
Pvrl1	NM_021424	chr9:43799673-43808780	78
Krt79	NM_146063	chr15:101973848-101988437	79
Krt18	NM_010664	chr15:101973848-101988437	79
Krt8	NM_031170	chr15:101973848-101988437	79
Krt4	NM_008475	chr15:101973848-101988437	79
Krt78	NM_212487	chr15:101973848-101988437	79
Nxn	NM_008750	chr11:76305735-76310278	81
Hmga1-rs1	NM_001166476	chr17:27549398-27562361	81
Hmga1	NM_001166537	chr17:27549398-27562361	81
Grm4	NM_001013385	chr17:27549398-27562361	81
AI413582	NM_001002895	chr17:27549398-27562361	81
Twist2	NM_007855	chr1:91808923-91815283	82
Fam171a1	NM_001081161	chr2:3158261-3184817	83
1700112E06Rik	NM_028275	chr14:22725681-22734651,chr14:23045544-23058137	366,84
Gm10248	NR_033550	chr14:23045544-23058137	84
Txnrd2	NM_013711	chr16:18459994-18462239	86
Comt	NM_001111062	chr16:18459994-18462239	86
Gnb1l	NM_023120	chr16:18459994-18462239	86
Notch3	NM_008716	chr17:32164271-32170108	86
Ephx3	NM_001033163	chr17:32164271-32170108	86
Heatr5a	NM_177171	chr12:51875131-51885423	87
Hectd1	NM_144788	chr12:51875131-51885423	87
Smg9	NM_028047	chr7:24387358-24395117,chr7:24449307-24470685	201,87
Plaur	NM_011113	chr7:24449307-24470685	87
Irgc1	NM_199013	chr7:24449307-24470685	87
Zfp428	NM_146183	chr7:24449307-24470685	87
Cadm4	NM_153112	chr7:24449307-24470685	87
Nuak2	NM_028778	chr1:132288023-132293128	89
Klhdc8a	NM_144810	chr1:132288023-132293128	89
Adam12	NM_007400	chr7:134082936-134098618	89
Slc44a3	NM_145394	chr3:121573824-121609276	90
A730020M07Rik	NR_036456	chr3:121573824-121609276	90
Clpb	NM_009191	chr7:101752697-101762322,chr7:101786816-101799576	91,354
Vps13d	NM_001276465	chr4:144991213-145011534	92
Atxn7l1	NM_028139	chr12:33243766-33254755	93
Nfib	NM_008687	chr4:82510685-82514088	94
Itsn1	NM_001110275	chr16:91752711-91765065	96
Cryzl1	NM_133679	chr16:91752711-91765065	96
Hoxc4	NM_013553	chr15:102997956-103003043	97
C1d	NM_020558	chr11:17254963-17265210	98
Wdr92	NM_178909	chr11:17254963-17265210	98
Pno1	NM_025443	chr11:17254963-17265210	98
Lalba	NM_010679	chr15:98512809-98513333	100
Kansl2	NM_133714	chr15:98512809-98513333	100
Snora34	NR_034051	chr15:98512809-98513333	100
Olfr279	NM_001001807	chr15:98512809-98513333	100
Snora2b	NR_034052	chr15:98512809-98513333	100
Wwc2	NM_133791	chr8:47974289-47986162	100
Klf10	NM_013692	chr15:38288960-38297954,chr15:38244971-38268938	314,101
Hdac4	NM_207225	chr1:91947576-91956649	102
B230208H11Rik	NR_038027	chr10:12858196-12878894,chr10:12884850-12890740,chr10:12920078-12931858	193,407,102
Stx11	NM_029075	chr10:12920078-12931858	102
Irf2bp2	NM_001164598	chr8:126523067-126551527	102
Gm17296	NM_001159907	chr8:126523067-126551527	102
D030025P21Rik	NR_028577	chr12:84879671-84885358,chr12:84846478-84865149	103,210
March7	NM_020575	chr2:60205875-60212852	104
Sdccag8	NM_029756	chr1:176818044-176823670	106
Cep170	NM_001099637	chr1:176818044-176823670	106
Hmga2-ps1	NR_037996	chr1:176818044-176823670	106
Mir350	NR_029775	chr1:176818044-176823670	106
Gm6498	NR_003630	chr14:48225776-48225976,chr14:48246380-48246528	520,108
Peli2	NM_033602	chr14:48225776-48225976,chr14:48246380-48246528	520,108
Nek7	NM_021605	chr1:138507296-138515626	109
Zfp27	NM_011754	chr7:29900681-29911643	110
Zfp383	NM_001243908	chr7:29900681-29911643	110
Zfp940	NM_173738	chr7:29900681-29911643	110
Zfp420	NM_172740	chr7:29900681-29911643	110
Zfp74	NM_178384	chr7:29900681-29911643	110
Kank2	NM_145611	chr9:21792739-21804644	111
Dock6	NM_177030	chr9:21792739-21804644	111
Spc24	NM_026282	chr9:21792739-21804644	111
Gm6484	NM_001080940	chr9:21792739-21804644	111
Prkca	NM_011101	chr11:108216442-108227728	112
Phlpp1	NM_133821	chr1:106168352-106180723	113
Gm20753	NR_040630	chr1:106168352-106180723	113
Mcm2	NM_008564	chr6:88928679-88940877,chr6:88942426-88953501	114,159
Tpra1	NM_011906	chr6:88928679-88940877,chr6:88942426-88953501	114,159
Rasa3	NM_009025	chr8:13640612-13655223	115
Nckap1	NM_016965	chr2:80576131-80583878	116
Dusp19	NM_024438	chr2:80576131-80583878	116
Ptpn1	NM_011201	chr2:167940160-167959084	116
Zbtb20	NM_019778	chr16:43351284-43365649,chr16:43437516-43438724	117,411
S100a14	NM_001163525	chr3:90574521-90587924	118
S100a16	NM_026416	chr3:90574521-90587924	118
S100a2	NM_001195760	chr3:90574521-90587924	118
S100a4	NM_011311	chr3:90574521-90587924	118
S100a5	NM_011312	chr3:90574521-90587924	118
S100a6	NM_011313	chr3:90574521-90587924	118
S100a3	NM_011310	chr3:90574521-90587924	118
Parp16	NM_177460	chr9:65217927-65219665,chr9:65196423-65201806	119,351
Hhip	NM_020259	chr8:80030067-80040294	120
Gprc5a	NM_181444	chr6:135039713-135043641	122
Ddx47	NM_026360	chr6:135039713-135043641	122
Ercc6	NM_001081221	chr14:32523601-32546999	124
Pmaip1	NM_021451	chr18:66463772-66487193	125
Gm9926	NR_040528	chr18:66463772-66487193	125
Ptpn14	NM_008976	chr1:189861319-189873436,chr1:189716356-189719841	294,127
Smyd2	NM_026796	chr1:189861319-189873436	127
Ubqln4	NM_033526	chr3:88513109-88526481	127
Lmna	NM_019390	chr3:88513109-88526481	127
Rab25	NM_016899	chr3:88513109-88526481	127
Mex3a	NM_001029890	chr3:88513109-88526481	127
Mir1905	NR_035434	chr3:88513109-88526481	127
Lamtor2	NM_031248	chr3:88513109-88526481	127
Atp8b4	NM_001080944	chr2:126322741-126323399	128
2310007B03Rik	NM_172411	chr1:93165455-93184584	132
Agxt	NM_001276710	chr1:93165455-93184584	132
Flnb	NM_134080	chr14:7898604-7908829	132
Rbm20	NM_001170847	chr19:53794569-53800838	133
Poc1a	NM_027354	chr9:106338805-106354065	133
Dusp7	NM_153459	chr9:106371857-106378410,chr9:106338805-106354065	133,311
Calcoco1	NM_026192	chr15:102730315-102735233	134
1600014C23Rik	NM_028164	chr17:45746862-45753045	135
Epha2	NM_010139	chr4:141345370-141356750	135
Clcnka	NM_024412	chr4:141345370-141356750	135
Fam131c	NM_001085513	chr4:141345370-141356750	135
Spp1	NM_001204203	chr5:104403336-104408103	138
Zfp703	NM_001110508	chr8:26972957-26981986	138
Erlin2	NM_153592	chr8:26972957-26981986	138
Arglu1	NM_176849	chr8:8686688-8695972	139
Efnb2	NM_010111	chr8:8686688-8695972	139
Dap	NM_146057	chr15:31184578-31189097	140
Nav1	NM_173437	chr1:135619129-135637864	141
Il4ra	NM_001008700	chr7:125556246-125581366	142
Il21r	NM_021887	chr7:125556246-125581366	142
Gnao1	NM_010308	chr8:93840784-93871565,chr8:93888206-93890203	144,293
4930488L21Rik	NR_026888	chr8:93840784-93871565	144
Gm10584	NR_028578	chr7:132344781-132359113	145
Chst15	NM_029935	chr7:132344781-132359113	145
Dok4	NM_053246	chr8:94870525-94880971,chr8:94899466-94914965	300,145
Ccdc102a	NM_001033533	chr8:94899466-94914965,chr8:94870525-94880971	300,145
Polr2c	NM_009090	chr8:94870525-94880971,chr8:94899466-94914965	300,145
Gpr114	NM_001033468	chr8:94870525-94880971,chr8:94899466-94914965	300,145
