REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	2d_myotH3K27ac.bam	Input_MT_2d.bam
12_MyoD_2d_MT_peak_14935_lociStitched	chr9	35305193	35369444	12	3442	214675.4412	1028080.251
8_MyoD_2d_MT_peak_6557_lociStitched	chr16	92930186	92979865	8	2127	37944.8202	5300.7493
45_MyoD_2d_MT_peak_15728_lociStitched	chrUn_JH584304	68487	114451	45	39445	538509.6276	3308530.0876
10_MyoD_2d_MT_peak_6683_lociStitched	chr17	7620257	7664506	10	2267	52647.4602	5256.7812
5_MyoD_2d_MT_peak_12885_lociStitched	chr6	128046827	128085978	5	1153	9329.6833	3641.043
10_MyoD_2d_MT_peak_3801_lociStitched	chr12	104966423	105005525	10	2717	34007.0094	4508.4606
5_MyoD_2d_MT_peak_561_lociStitched	chr1	92776480	92814639	5	1135	21617.0735	4376.8373
5_MyoD_2d_MT_peak_8857_lociStitched	chr2	91370386	91408359	5	1167	19810.5141	4196.0165
54_MyoD_2d_MT_peak_14751_lociStitched	chr9	3000002	3037562	54	30032	1003197.552	4856012.208
9_MyoD_2d_MT_peak_8881_lociStitched	chr2	93432955	93470340	9	3209	26053.6065	4239.459
5_MyoD_2d_MT_peak_7501_lociStitched	chr18	35353023	35390010	5	1447	19599.4113	3883.635
5_MyoD_2d_MT_peak_9366_lociStitched	chr2	163661370	163698348	5	1213	23865.6012	3324.3222
6_MyoD_2d_MT_peak_2427_lociStitched	chr11	57683195	57719901	6	1153	16510.3588	3274.1752
7_MyoD_2d_MT_peak_12726_lociStitched	chr6	100157456	100194064	7	1613	13819.52	3598.5664
7_MyoD_2d_MT_peak_15114_lociStitched	chr9	58295699	58331555	7	1995	28469.664	3194.7696
7_MyoD_2d_MT_peak_5030_lociStitched	chr14	58502832	58538602	7	2117	11839.87	3680.733
5_MyoD_2d_MT_peak_10450_lociStitched	chr4	25645698	25681333	5	1111	4625.423	3645.4605
9_MyoD_2d_MT_peak_7166_lociStitched	chr17	70720728	70755888	9	2178	80913.708	4198.104
6_MyoD_2d_MT_peak_4141_lociStitched	chr13	37658102	37692456	6	1825	21646.4554	3493.8018
8_MyoD_2d_MT_peak_3688_lociStitched	chr12	86800849	86834632	8	2186	43296.2928	3597.8895
8_MyoD_2d_MT_peak_7356_lociStitched	chr18	5133267	5166993	8	1695	30626.5806	3173.6166
5_MyoD_2d_MT_peak_7635_lociStitched	chr18	57249548	57283237	5	1358	11592.3849	3210.5617
6_MyoD_2d_MT_peak_315_lociStitched	chr1	72945889	72979367	6	1832	31643.4056	3692.6234
6_MyoD_2d_MT_peak_14696_lociStitched	chr8	126826538	126859956	6	1447	42978.8898	2900.6824
9_MyoD_2d_MT_peak_15646_lociStitched	chr9	121314174	121346983	9	2262	21260.232	2742.8324
6_MyoD_2d_MT_peak_1370_lociStitched	chr10	23548323	23580486	6	1147	16502.8353	4113.6477
4_MyoD_2d_MT_peak_3525_lociStitched	chr12	73355281	73387076	4	1228	14644.777	3160.423
5_MyoD_2d_MT_peak_8322_lociStitched	chr2	4423993	4455563	5	1072	14058.121	3359.048
7_MyoD_2d_MT_peak_2142_lociStitched	chr11	4271055	4302574	7	1408	26293.1498	3344.1659
6_MyoD_2d_MT_peak_2747_lociStitched	chr11	88156449	88187709	6	1118	18912.3	2669.604
6_MyoD_2d_MT_peak_7618_lociStitched	chr18	54900809	54931785	6	1216	17678.0032	3001.5744
5_MyoD_2d_MT_peak_10428_lociStitched	chr4	11978686	12009494	5	1254	19701.716	3330.3448
4_MyoD_2d_MT_peak_2975_lociStitched	chr11	105542285	105572326	4	750	17306.6201	3202.3706
5_MyoD_2d_MT_peak_9143_lociStitched	chr2	128536341	128566179	5	1333	24249.3426	3267.261
8_MyoD_2d_MT_peak_4829_lociStitched	chr14	25736732	25766136	8	1867	24211.2536	2916.8768
4_MyoD_2d_MT_peak_6185_lociStitched	chr16	21293518	21322850	4	926	10351.2628	2196.9668
5_MyoD_2d_MT_peak_399_lociStitched	chr1	81726757	81756013	5	1243	29203.3392	3361.5144
9_MyoD_2d_MT_peak_1213_lociStitched	chr1	192778291	192807191	9	2826	27804.69	3632.73
6_MyoD_2d_MT_peak_8914_lociStitched	chr2	102009972	102038830	6	1120	7459.793	2810.7692
6_MyoD_2d_MT_peak_8718_lociStitched	chr2	60688914	60717726	6	1272	34542.7068	3287.4492
4_MyoD_2d_MT_peak_4813_lociStitched	chr14	25354534	25383157	4	996	13802.0106	2796.4671
6_MyoD_2d_MT_peak_11994_lociStitched	chr5	125226265	125254259	6	1205	14142.5688	2726.6156
11_MyoD_2d_MT_peak_3769_lociStitched	chr12	100980751	101008535	11	3065	15428.4552	2606.1392
6_MyoD_2d_MT_peak_8580_lociStitched	chr2	35250314	35278007	6	1414	19302.021	3004.6905
4_MyoD_2d_MT_peak_11844_lociStitched	chr5	112260334	112288023	4	1312	23150.7729	2644.2995
4_MyoD_2d_MT_peak_9502_lociStitched	chr2	180201404	180228880	4	1680	22497.3488	2961.9128
4_MyoD_2d_MT_peak_7251_lociStitched	chr17	79536592	79564026	4	820	16674.3852	3308.5404
4_MyoD_2d_MT_peak_6284_lociStitched	chr16	30416487	30443706	4	573	6921.7917	2397.9939
5_MyoD_2d_MT_peak_4224_lociStitched	chr13	49345524	49372723	5	1386	20385.6505	3005.4895
8_MyoD_2d_MT_peak_7529_lociStitched	chr18	37825463	37852294	8	1889	25027.9568	2425.5224
6_MyoD_2d_MT_peak_2695_lociStitched	chr11	80485809	80512605	6	1786	18808.1124	2687.6388
6_MyoD_2d_MT_peak_3151_lociStitched	chr11	117923300	117950042	6	1321	24148.026	2532.4674
7_MyoD_2d_MT_peak_14302_lociStitched	chr8	84719393	84745822	7	1783	18489.7284	4151.9959
6_MyoD_2d_MT_peak_4351_lociStitched	chr13	60405110	60431517	6	1730	28577.6554	2870.4409
5_MyoD_2d_MT_peak_4823_lociStitched	chr14	25493941	25519993	5	1055	16949.4312	2680.7508
4_MyoD_2d_MT_peak_10898_lociStitched	chr4	118030373	118056315	4	939	11816.581	2311.4322
5_MyoD_2d_MT_peak_9330_lociStitched	chr2	158088263	158114104	5	1028	11121.9664	2682.2958
5_MyoD_2d_MT_peak_5248_lociStitched	chr14	105359921	105385467	5	1777	17315.0788	2868.8158
5_MyoD_2d_MT_peak_3437_lociStitched	chr12	52829108	52854622	5	1411	23625.964	2584.5682
5_MyoD_2d_MT_peak_15282_lociStitched	chr9	70229950	70255320	5	1240	17421.579	2435.52
8_MyoD_2d_MT_peak_14583_lociStitched	chr8	120251482	120276813	8	2005	6834.3038	2054.3441
5_MyoD_2d_MT_peak_2471_lociStitched	chr11	61038364	61063494	5	1239	9411.185	2575.825
5_MyoD_2d_MT_peak_5613_lociStitched	chr15	58981968	59007080	5	1204	39820.0984	3817.024
7_MyoD_2d_MT_peak_11259_lociStitched	chr4	152068169	152093146	7	1461	12868.1504	2267.9116
4_MyoD_2d_MT_peak_4767_lociStitched	chr14	21659322	21684195	4	874	5210.8935	2626.5888
5_MyoD_2d_MT_peak_13214_lociStitched	chr7	46341485	46366132	5	1452	24484.3298	1974.2247
4_MyoD_2d_MT_peak_14545_lociStitched	chr8	118137961	118162603	4	1055	17207.5086	1963.9674
5_MyoD_2d_MT_peak_13424_lociStitched	chr7	83556587	83581214	5	727	16184.8644	2039.1156
4_MyoD_2d_MT_peak_11891_lociStitched	chr5	117873896	117898392	4	752	1489.3568	2074.8112
4_MyoD_2d_MT_peak_13596_lociStitched	chr7	110784946	110809304	4	918	14488.1384	2145.9398
3_MyoD_2d_MT_peak_3854_lociStitched	chr12	111731990	111756272	3	629	10611.234	2165.9544
4_MyoD_2d_MT_peak_10218_lociStitched	chr3	129635342	129659624	4	873	7049.0646	2739.0096
4_MyoD_2d_MT_peak_13268_lociStitched	chr7	65439625	65463832	4	1023	17874.4488	2101.1676
5_MyoD_2d_MT_peak_14818_lociStitched	chr9	14199241	14223302	5	824	6022.4683	2163.0839
4_MyoD_2d_MT_peak_7670_lociStitched	chr18	61609820	61633805	4	866	11299.3335	2185.0335
6_MyoD_2d_MT_peak_11821_lociStitched	chr5	111197342	111221264	6	1513	24445.8918	2636.2044
4_MyoD_2d_MT_peak_2951_lociStitched	chr11	103288295	103312127	4	698	23257.6488	2662.0344
4_MyoD_2d_MT_peak_5339_lociStitched	chr15	7112615	7136318	4	898	15018.2208	3576.7827
4_MyoD_2d_MT_peak_7638_lociStitched	chr18	60596190	60619863	4	805	16189.9647	2158.9776
7_MyoD_2d_MT_peak_15180_lociStitched	chr9	63642286	63665727	7	1483	11687.6826	1976.0763
4_MyoD_2d_MT_peak_3641_lociStitched	chr12	84175032	84198467	4	975	12476.794	2589.5675
3_MyoD_2d_MT_peak_13621_lociStitched	chr7	112467684	112491102	3	468	8416.4292	1981.1628
4_MyoD_2d_MT_peak_62_lociStitched	chr1	21041056	21064356	4	830	14138.44	2369.61
3_MyoD_2d_MT_peak_1054_lociStitched	chr1	177623317	177646459	3	1000	14375.8104	2439.1668
6_MyoD_2d_MT_peak_155_lociStitched	chr1	43237155	43260245	6	1245	22157.164	2602.243
4_MyoD_2d_MT_peak_12310_lociStitched	chr6	31339824	31362903	4	676	3327.9918	2420.9871
6_MyoD_2d_MT_peak_8299_lociStitched	chr19	58414834	58437810	6	1456	6495.3152	2552.6336
4_MyoD_2d_MT_peak_8827_lociStitched	chr2	84623518	84646434	4	833	22833.5024	2571.1752
6_MyoD_2d_MT_peak_1693_lociStitched	chr10	75098536	75121442	6	1522	10566.5378	2615.8652
7_MyoD_2d_MT_peak_11374_lociStitched	chr5	21482596	21505474	7	1297	33536.8602	2855.1744
