REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	4d_myotH3K27ac.bam	Input_MT_5d.bam
9_Mef2Da2_5d_peak_188_lociStitched	chr1	66922126	66965087	9	2267	22584.5977	4382.022
6_Mef2Da2_5d_peak_8017_lociStitched	chr7	49359318	49397976	6	1023	22556.943	3626.1204
7_Mef2Da2_5d_peak_3270_lociStitched	chr15	34043742	34079738	7	1298	22349.9164	5392.2008
7_Mef2Da2_5d_peak_3995_lociStitched	chr16	92948583	92983228	7	1226	35466.0865	4781.01
6_Mef2Da2_5d_peak_6374_lociStitched	chr4	11975787	12008365	6	976	19032.0676	4052.7032
4_Mef2Da2_5d_peak_1288_lociStitched	chr10	111547999	111576199	4	699	14720.4	3352.98
4_Mef2Da2_5d_peak_843_lociStitched	chr10	13990977	14018064	4	724	12124.1412	3640.4928
6_Mef2Da2_5d_peak_3791_lociStitched	chr16	24156716	24183318	6	1095	15234.9654	3253.4246
4_Mef2Da2_5d_peak_7682_lociStitched	chr6	100167511	100194086	4	685	9715.82	3292.6425
5_Mef2Da2_5d_peak_4467_lociStitched	chr18	5920020	5946466	5	911	13355.23	2530.8822
4_Mef2Da2_5d_peak_171_lociStitched	chr1	63369670	63395722	4	768	4301.1852	2730.2496
4_Mef2Da2_5d_peak_7584_lociStitched	chr6	84225646	84251307	4	940	19179.0314	2951.015
4_Mef2Da2_5d_peak_4536_lociStitched	chr18	32340200	32365821	4	799	19261.8678	4012.2486
5_Mef2Da2_5d_peak_5397_lociStitched	chr2	77102601	77127212	5	1465	15593.5296	3029.6141
4_Mef2Da2_5d_peak_9294_lociStitched	chr9	108120144	108144631	4	645	11959.4508	2309.1241
3_Mef2Da2_5d_peak_1003_lociStitched	chr10	45192804	45217083	3	508	5547.7515	2867.3499
5_Mef2Da2_5d_peak_7313_lociStitched	chr5	125052261	125076502	5	1038	12372.6064	2610.7557
5_Mef2Da2_5d_peak_473_lociStitched	chr1	135770993	135795161	5	987	15680.1984	2776.9032
4_Mef2Da2_5d_peak_5322_lociStitched	chr2	60689040	60713118	4	893	23822.7732	3289.0548
5_Mef2Da2_5d_peak_896_lociStitched	chr10	23596750	23620446	5	715	9964.168	2895.6512
4_Mef2Da2_5d_peak_2051_lociStitched	chr12	54242128	54265491	4	729	10922.2025	2562.9211
5_Mef2Da2_5d_peak_1663_lociStitched	chr11	80485822	80509162	5	1174	26003.094	3013.194
3_Mef2Da2_5d_peak_2406_lociStitched	chr13	29637842	29660969	3	831	7060.6731	2412.1461
3_Mef2Da2_5d_peak_4054_lociStitched	chr17	7633471	7656252	3	398	17969.6528	3259.9611
3_Mef2Da2_5d_peak_1537_lociStitched	chr11	55005286	55027882	3	532	14276.1528	2693.4432
3_Mef2Da2_5d_peak_5337_lociStitched	chr2	61453825	61476417	3	769	3860.9728	2491.8976
3_Mef2Da2_5d_peak_2038_lociStitched	chr12	51706892	51729308	3	468	14404.5216	2649.5712
5_Mef2Da2_5d_peak_4700_lociStitched	chr18	64699879	64721510	5	791	5442.3596	2096.0439
3_Mef2Da2_5d_peak_4747_lociStitched	chr18	68578229	68599774	3	605	4808.844	2066.1655
3_Mef2Da2_5d_peak_7595_lociStitched	chr6	86598812	86620274	3	444	13263.516	2699.9196
3_Mef2Da2_5d_peak_5575_lociStitched	chr2	120518706	120540122	3	691	9300.9688	2383.6008
5_Mef2Da2_5d_peak_1189_lociStitched	chr10	84388429	84409612	5	1167	16499.4387	3069.4167
3_Mef2Da2_5d_peak_4331_lociStitched	chr17	67150559	67171643	3	538	5989.9644	2323.4568
4_Mef2Da2_5d_peak_1171_lociStitched	chr10	81412154	81433143	4	898	21734.1095	2354.9658
4_Mef2Da2_5d_peak_250_lociStitched	chr1	75538762	75559713	4	579	15887.1433	2268.9933
3_Mef2Da2_5d_peak_4036_lociStitched	chr17	5118384	5139170	3	383	8890.1722	2359.211
3_Mef2Da2_5d_peak_8848_lociStitched	chr8	124632977	124653660	3	672	18751.2078	2136.5539
4_Mef2Da2_5d_peak_9009_lociStitched	chr9	49643151	49663497	4	612	7070.235	2258.406
4_Mef2Da2_5d_peak_8150_lociStitched	chr7	90039668	90060006	4	532	2922.5706	1824.3186
4_Mef2Da2_5d_peak_9051_lociStitched	chr9	56132268	56152385	4	564	7022.8447	1969.4543
3_Mef2Da2_5d_peak_3734_lociStitched	chr16	11507328	11527244	3	516	5385.2864	2037.4068
4_Mef2Da2_5d_peak_2175_lociStitched	chr12	85436183	85456048	4	1039	6875.2765	2346.0565
5_Mef2Da2_5d_peak_3678_lociStitched	chr15	101240867	101260664	5	1313	18876.4395	2846.8086
4_Mef2Da2_5d_peak_7527_lociStitched	chr6	54248940	54268580	4	640	19506.448	2453.036
5_Mef2Da2_5d_peak_3657_lociStitched	chr15	99333029	99352563	5	1216	21528.4214	3689.9726
3_Mef2Da2_5d_peak_9038_lociStitched	chr9	52261781	52281294	3	603	4396.2789	1830.3194
4_Mef2Da2_5d_peak_9103_lociStitched	chr9	61638988	61658304	4	1071	12746.6284	2078.4016
3_Mef2Da2_5d_peak_7349_lociStitched	chr5	136456436	136475419	3	548	8354.4183	2219.1127
4_Mef2Da2_5d_peak_7857_lociStitched	chr6	146899627	146918478	4	744	14273.9772	2509.0681
4_Mef2Da2_5d_peak_1827_lociStitched	chr11	104558217	104577031	4	707	16191.3284	2366.8012
3_Mef2Da2_5d_peak_398_lociStitched	chr1	127329924	127348610	3	805	1689.2144	2167.576
4_Mef2Da2_5d_peak_2007_lociStitched	chr12	32989948	33008562	4	763	10098.095	1898.628
4_Mef2Da2_5d_peak_5741_lociStitched	chr2	163345061	163363546	4	660	28276.5045	2534.2935
3_Mef2Da2_5d_peak_5787_lociStitched	chr2	173046680	173065053	3	444	7395.1325	1829.9508
4_Mef2Da2_5d_peak_8217_lociStitched	chr7	110631705	110649601	4	812	5248.8968	1510.4224
3_Mef2Da2_5d_peak_208_lociStitched	chr1	72197133	72215001	3	527	6137.658	1842.1908
5_Mef2Da2_5d_peak_6987_lociStitched	chr5	31627288	31645125	5	1228	21397.2652	2386.5906
3_Mef2Da2_5d_peak_2801_lociStitched	chr13	110924085	110941917	3	727	5240.8248	1797.4656
5_Mef2Da2_5d_peak_1317_lociStitched	chr10	118640252	118658066	5	1547	17153.1006	2702.3838
3_Mef2Da2_5d_peak_790_lociStitched	chr1	192789310	192807118	3	451	18002.1072	2186.8224
3_Mef2Da2_5d_peak_1853_lociStitched	chr11	108148589	108166119	3	585	8416.153	2096.588
3_Mef2Da2_5d_peak_9444_lociStitched	chrX	53162735	53180181	3	755	5877.5574	1870.2112
4_Mef2Da2_5d_peak_2472_lociStitched	chr13	37909242	37926666	4	570	10700.0784	2181.4848
4_Mef2Da2_5d_peak_7686_lociStitched	chr6	101327826	101345217	4	705	14484.9639	2177.3532
4_Mef2Da2_5d_peak_8838_lociStitched	chr8	123872192	123889324	4	845	16546.0856	1867.388
4_Mef2Da2_5d_peak_4126_lociStitched	chr17	17592853	17609791	4	746	4453.0002	1544.7456
4_Mef2Da2_5d_peak_4667_lociStitched	chr18	61380351	61397284	4	1044	17644.186	1877.8697
5_Mef2Da2_5d_peak_5286_lociStitched	chr2	52319053	52335939	5	937	10626.3598	2176.6054
3_Mef2Da2_5d_peak_6030_lociStitched	chr3	83954027	83970881	3	529	5231.4816	1826.9736
3_Mef2Da2_5d_peak_4263_lociStitched	chr17	49472666	49489488	3	646	10172.2634	1990.0426
3_Mef2Da2_5d_peak_3390_lociStitched	chr15	59054894	59071669	3	567	15292.09	2918.85
3_Mef2Da2_5d_peak_4411_lociStitched	chr17	84926340	84943058	3	564	4161.1102	1708.5796
3_Mef2Da2_5d_peak_6504_lociStitched	chr4	57232616	57249310	3	663	7764.3794	1772.9028
3_Mef2Da2_5d_peak_729_lociStitched	chr1	182520481	182537141	3	526	6470.744	2082.5
5_Mef2Da2_5d_peak_7865_lociStitched	chr6	147490276	147506816	5	829	7105.584	1933.526
3_Mef2Da2_5d_peak_8657_lociStitched	chr8	84753348	84769551	3	557	12058.2726	2516.3259
5_Mef2Da2_5d_peak_8406_lociStitched	chr8	11689939	11706101	5	941	13610.0202	2272.3772
4_Mef2Da2_5d_peak_4191_lociStitched	chr17	31914504	31930593	4	593	17926.3638	2035.2585
3_Mef2Da2_5d_peak_5164_lociStitched	chr2	27096779	27112855	3	540	5059.1172	1913.044
4_Mef2Da2_5d_peak_3837_lociStitched	chr16	30502729	30518770	4	503	14355.0909	1958.6061
3_Mef2Da2_5d_peak_4977_lociStitched	chr19	36682573	36698476	3	824	11796.8454	1949.7078
4_Mef2Da2_5d_peak_6301_lociStitched	chr3	138103897	138119699	4	746	12815.422	1964.1886
4_Mef2Da2_5d_peak_5650_lociStitched	chr2	135853159	135868880	4	939	7764.6019	2106.614
3_Mef2Da2_5d_peak_8293_lociStitched	chr7	126236314	126251997	3	521	5638.0385	1322.0769
4_Mef2Da2_5d_peak_1510_lociStitched	chr11	52073933	52089464	4	673	15416.0706	2107.5567
3_Mef2Da2_5d_peak_3864_lociStitched	chr16	34066897	34082399	3	494	7558.7752	1770.3284
5_Mef2Da2_5d_peak_3621_lociStitched	chr15	97089767	97105219	5	726	10192.1392	2238.9948
3_Mef2Da2_5d_peak_2745_lociStitched	chr13	101127197	101142517	3	456	1519.744	1455.4
3_Mef2Da2_5d_peak_4452_lociStitched	chr18	4987557	5002704	3	896	9881.9028	1531.3617
3_Mef2Da2_5d_peak_2530_lociStitched	chr13	46510921	46526039	3	502	11252.3274	1969.8754
3_Mef2Da2_5d_peak_5749_lociStitched	chr2	163670991	163686030	3	713	13237.3278	1876.8672
3_Mef2Da2_5d_peak_8504_lociStitched	chr8	45830177	45845203	3	848	8201.1908	1815.1408
3_Mef2Da2_5d_peak_96_lociStitched	chr1	40840649	40855653	3	598	16484.8948	1855.9948
4_Mef2Da2_5d_peak_3706_lociStitched	chr16	4498090	4513002	4	721	11297.3312	1892.3328
4_Mef2Da2_5d_peak_7628_lociStitched	chr6	90688818	90703510	4	906	13528.3936	1849.7228
3_Mef2Da2_5d_peak_3077_lociStitched	chr14	74868373	74883037	3	494	8703.084	1915.1184
4_Mef2Da2_5d_peak_4685_lociStitched	chr18	62032763	62047406	4	869	8728.6923	1613.6586
4_Mef2Da2_5d_peak_215_lociStitched	chr1	72937175	72951645	4	1114	11016.011	1774.022
3_Mef2Da2_5d_peak_588_lociStitched	chr1	160520755	160535170	3	618	4803.078	1626.012
4_Mef2Da2_5d_peak_5806_lociStitched	chr2	180362640	180377012	4	1348	17509.4076	1818.058
4_Mef2Da2_5d_peak_1006_lociStitched	chr10	45262378	45276741	4	559	5041.413	1940.4413
3_Mef2Da2_5d_peak_5002_lociStitched	chr19	41606702	41621044	3	996	10732.1186	1706.698
3_Mef2Da2_5d_peak_853_lociStitched	chr10	15392234	15406451	3	454	5827.5483	1468.6161
3_Mef2Da2_5d_peak_5954_lociStitched	chr3	54473605	54487776	3	953	8678.3204	1921.5876
3_Mef2Da2_5d_peak_1939_lociStitched	chr12	8436706	8450871	3	617	17660.922	2045.426
3_Mef2Da2_5d_peak_3911_lociStitched	chr16	45796937	45811022	3	421	10489.0995	1677.5235
4_Mef2Da2_5d_peak_8625_lociStitched	chr8	81853210	81867278	4	1104	6779.3692	1889.3324
3_Mef2Da2_5d_peak_845_lociStitched	chr10	14041758	14055810	3	492	9940.3848	1953.228
3_Mef2Da2_5d_peak_7789_lociStitched	chr6	128225517	128239568	3	509	9096.6174	1603.2191
4_Mef2Da2_5d_peak_610_lociStitched	chr1	163221852	163235880	4	734	6250.8768	1782.9588
3_Mef2Da2_5d_peak_8981_lociStitched	chr9	41078368	41092384	3	375	4103.8848	1262.8416
5_Mef2Da2_5d_peak_5537_lociStitched	chr2	114130208	114144130	5	1150	11924.193	1644.1882
4_Mef2Da2_5d_peak_3892_lociStitched	chr16	43578491	43592308	4	558	9645.6477	1570.9929
3_Mef2Da2_5d_peak_977_lociStitched	chr10	41817059	41830740	3	575	6309.6772	1764.849
3_Mef2Da2_5d_peak_2694_lociStitched	chr13	93975828	93989478	3	402	3525.795	1289.925
6_Mef2Da2_5d_peak_6233_lociStitched	chr3	123138436	123152021	6	1425	14144.702	1899.183
3_Mef2Da2_5d_peak_154_lociStitched	chr1	59475736	59489277	3	700	7880.862	1633.0446
3_Mef2Da2_5d_peak_8559_lociStitched	chr8	61908565	61921971	3	749	6000.5256	1675.75
4_Mef2Da2_5d_peak_9018_lociStitched	chr9	49893566	49906852	4	1156	6112.8886	1393.7014
3_Mef2Da2_5d_peak_6003_lociStitched	chr3	68608940	68622196	3	539	11019.7128	1733.8848
3_Mef2Da2_5d_peak_2863_lociStitched	chr14	20651713	20664858	3	793	9584.0195	1511.675
3_Mef2Da2_5d_peak_4931_lociStitched	chr19	25273307	25286452	3	451	1754.8575	1179.1065
3_Mef2Da2_5d_peak_9186_lociStitched	chr9	77615880	77629007	3	710	6589.754	1279.8825
3_Mef2Da2_5d_peak_8272_lociStitched	chr7	118919166	118932258	3	496	8644.6476	1193.9904
3_Mef2Da2_5d_peak_5721_lociStitched	chr2	156724243	156737231	3	559	14997.2436	1761.1728
3_Mef2Da2_5d_peak_9062_lociStitched	chr9	56860482	56873431	3	593	10629.8341	1188.7182
2_Mef2Da2_5d_peak_2017_lociStitched	chr12	35550376	35563309	2	520	2484.4293	1550.6667
2_Mef2Da2_5d_peak_8983_lociStitched	chr9	41105396	41118326	2	509	10062.126	1383.51
2_Mef2Da2_5d_peak_7316_lociStitched	chr5	125219861	125232779	2	461	6679.8978	1548.8682
2_Mef2Da2_5d_peak_6047_lociStitched	chr3	85846373	85859249	2	692	4482.1356	1421.5104
3_Mef2Da2_5d_peak_4407_lociStitched	chr17	84603228	84616073	3	546	6701.2365	1947.302
3_Mef2Da2_5d_peak_6006_lociStitched	chr3	68656984	68669820	3	700	7724.7048	1653.2768
2_Mef2Da2_5d_peak_3553_lociStitched	chr15	81049615	81062441	2	420	9361.6974	1948.2694
2_Mef2Da2_5d_peak_1094_lociStitched	chr10	68090292	68103054	2	539	5939.4348	1437.0012
4_Mef2Da2_5d_peak_2717_lociStitched	chr13	97764148	97776881	4	759	4946.7705	1670.5696
2_Mef2Da2_5d_peak_4394_lociStitched	chr17	81843948	81856674	2	308	612.1206	1102.0716
2_Mef2Da2_5d_peak_7006_lociStitched	chr5	34976983	34989707	2	382	4186.196	1558.69
2_Mef2Da2_5d_peak_7041_lociStitched	chr5	43081954	43094677	2	446	3939.0408	1127.2578
4_Mef2Da2_5d_peak_6823_lociStitched	chr4	138065565	138078274	4	873	9881.2475	1366.2175
2_Mef2Da2_5d_peak_8618_lociStitched	chr8	79600521	79613194	2	370	6265.5312	1722.2607
2_Mef2Da2_5d_peak_3287_lociStitched	chr15	36987279	36999945	2	353	6567.321	1860.6354
2_Mef2Da2_5d_peak_6481_lociStitched	chr4	53491466	53504118	2	294	2775.8488	1268.9956
4_Mef2Da2_5d_peak_4159_lociStitched	chr17	29050912	29063544	4	943	19799.3968	1723.0048
3_Mef2Da2_5d_peak_2442_lociStitched	chr13	32922591	32935216	3	683	17329.075	1990.9625
2_Mef2Da2_5d_peak_5935_lociStitched	chr3	51481191	51493806	2	364	4656.1965	1277.8995
3_Mef2Da2_5d_peak_7996_lociStitched	chr7	46337695	46350306	3	458	13443.326	1292.6275
3_Mef2Da2_5d_peak_2413_lociStitched	chr13	30230055	30242656	3	594	4887.9279	1423.913
2_Mef2Da2_5d_peak_7130_lociStitched	chr5	74147591	74160191	2	416	1949.22	1171.8
3_Mef2Da2_5d_peak_1434_lociStitched	chr11	29626665	29639255	3	536	6712.988	1571.232
2_Mef2Da2_5d_peak_8765_lociStitched	chr8	110703722	110716267	2	459	11153.7595	1430.13
4_Mef2Da2_5d_peak_5554_lociStitched	chr2	117666472	117679015	4	795	7845.6465	1710.8652
2_Mef2Da2_5d_peak_5796_lociStitched	chr2	173452196	173464718	2	298	3731.556	1567.7544
2_Mef2Da2_5d_peak_1320_lociStitched	chr10	118709821	118722336	2	324	6406.4285	1560.6205
2_Mef2Da2_5d_peak_4626_lociStitched	chr18	52558755	52571226	2	370	4152.843	1071.2589
2_Mef2Da2_5d_peak_797_lociStitched	chr1	193332746	193345217	2	282	7874.1894	1460.3541
3_Mef2Da2_5d_peak_3598_lociStitched	chr15	94385873	94398328	3	564	2619.2865	1482.145
2_Mef2Da2_5d_peak_8432_lociStitched	chr8	18804910	18817356	2	331	3492.3476	1549.527
2_Mef2Da2_5d_peak_3730_lociStitched	chr16	11012755	11025175	2	286	4569.318	1297.89
2_Mef2Da2_5d_peak_1961_lociStitched	chr12	15617493	15629910	2	342	527.7225	1038.0612
2_Mef2Da2_5d_peak_7148_lociStitched	chr5	86101026	86113437	2	298	883.6632	928.3428
3_Mef2Da2_5d_peak_1700_lociStitched	chr11	88105570	88117952	3	677	10854.0612	1529.177
2_Mef2Da2_5d_peak_1010_lociStitched	chr10	45299587	45311932	2	520	13435.0635	2020.8765
2_Mef2Da2_5d_peak_6382_lociStitched	chr4	16199569	16211827	2	247	2392.7616	1208.6388
2_Mef2Da2_5d_peak_4081_lociStitched	chr17	10378520	10390756	2	537	9104.8076	1720.3816
2_Mef2Da2_5d_peak_1762_lociStitched	chr11	97716330	97728563	2	276	10009.0406	1348.0766
2_Mef2Da2_5d_peak_6629_lociStitched	chr4	99614483	99626693	2	303	1208.79	1002.441
4_Mef2Da2_5d_peak_6124_lociStitched	chr3	99811311	99823509	4	794	9541.2756	1536.948
2_Mef2Da2_5d_peak_6908_lociStitched	chr5	4234509	4246705	2	451	6058.9728	1442.7868
2_Mef2Da2_5d_peak_784_lociStitched	chr1	191550895	191563076	2	298	1631.0359	1422.7408
2_Mef2Da2_5d_peak_5009_lociStitched	chr19	41935990	41948119	2	253	5918.952	1649.544
3_Mef2Da2_5d_peak_1042_lociStitched	chr10	60197491	60209617	3	737	6772.371	1691.577
2_Mef2Da2_5d_peak_1161_lociStitched	chr10	80836913	80849032	2	400	3596.9192	1267.6474
2_Mef2Da2_5d_peak_7076_lociStitched	chr5	57744004	57756109	2	407	2048.166	969.6105
2_Mef2Da2_5d_peak_2709_lociStitched	chr13	97010135	97022218	2	463	4828.3668	1150.3016
2_Mef2Da2_5d_peak_7426_lociStitched	chr6	17817026	17829092	2	274	2349.2502	1164.369
2_Mef2Da2_5d_peak_3895_lociStitched	chr16	43792622	43804632	2	299	2355.161	1149.357
2_Mef2Da2_5d_peak_7819_lociStitched	chr6	140535854	140547864	2	279	7610.737	1453.21
2_Mef2Da2_5d_peak_7918_lociStitched	chr7	19933673	19945678	2	346	5778.0065	998.816
4_Mef2Da2_5d_peak_6511_lociStitched	chr4	57549402	57561376	4	664	10647.2808	1627.2666
2_Mef2Da2_5d_peak_3442_lociStitched	chr15	64105901	64117871	2	452	6165.747	1611.162
2_Mef2Da2_5d_peak_550_lociStitched	chr1	153280556	153292516	2	397	4238.624	1349.088
2_Mef2Da2_5d_peak_4356_lociStitched	chr17	71027150	71039104	2	300	3665.0964	1362.756
3_Mef2Da2_5d_peak_27_lociStitched	chr1	16996087	17008032	3	424	5780.1855	1447.734
3_Mef2Da2_5d_peak_6310_lociStitched	chr3	142440269	142452207	3	508	1740.5604	1072.0324
2_Mef2Da2_5d_peak_8182_lociStitched	chr7	99295194	99307111	2	579	4281.7781	741.2374
2_Mef2Da2_5d_peak_2486_lociStitched	chr13	41748997	41760871	2	427	1443.8784	1150.5906
2_Mef2Da2_5d_peak_2329_lociStitched	chr13	5592579	5604418	2	230	1556.8285	1226.5204
2_Mef2Da2_5d_peak_4985_lociStitched	chr19	37896299	37908126	2	264	6168.9632	1243.0177
3_Mef2Da2_5d_peak_5605_lociStitched	chr2	126053684	126065508	3	617	4407.9872	1181.2176
4_Mef2Da2_5d_peak_4197_lociStitched	chr17	32006958	32018775	4	703	9376.7895	1598.8401
2_Mef2Da2_5d_peak_2155_lociStitched	chr12	81668618	81680409	2	225	4789.5042	1190.891
2_Mef2Da2_5d_peak_1463_lociStitched	chr11	31784660	31796450	2	291	1867.536	1112.976
2_Mef2Da2_5d_peak_1017_lociStitched	chr10	52036852	52048634	2	403	3757.2798	1691.8952
2_Mef2Da2_5d_peak_5496_lociStitched	chr2	108291336	108303096	2	360	961.968	1021.944
2_Mef2Da2_5d_peak_5519_lociStitched	chr2	113174852	113186608	2	391	3470.3712	1215.5704
2_Mef2Da2_5d_peak_1979_lociStitched	chr12	21144789	21156526	2	223	3504.6682	1017.5979
2_Mef2Da2_5d_peak_12_lociStitched	chr1	12276371	12288106	2	338	3708.26	1220.44
4_Mef2Da2_5d_peak_1097_lociStitched	chr10	68156730	68168461	4	653	7107.8129	1407.72
2_Mef2Da2_5d_peak_2133_lociStitched	chr12	79828948	79840673	2	280	4568.06	1372.9975
5_Mef2Da2_5d_peak_6467_lociStitched	chr4	47592473	47604169	5	1171	3050.3168	1205.8576
2_Mef2Da2_5d_peak_1324_lociStitched	chr10	118989930	119001617	2	571	15588.1206	1768.2431
2_Mef2Da2_5d_peak_3241_lociStitched	chr15	27942203	27953885	2	236	5093.352	2003.463
2_Mef2Da2_5d_peak_4796_lociStitched	chr18	75675961	75687634	2	266	6700.302	977.0301
2_Mef2Da2_5d_peak_3300_lociStitched	chr15	38908394	38920056	2	457	5579.1008	1614.0208
2_Mef2Da2_5d_peak_4678_lociStitched	chr18	61778605	61790238	2	373	4157.6342	1119.0946
2_Mef2Da2_5d_peak_4012_lociStitched	chr16	94609405	94621031	2	269	3129.7192	1225.3804
2_Mef2Da2_5d_peak_2714_lociStitched	chr13	97551016	97562566	2	383	2761.605	1285.515
3_Mef2Da2_5d_peak_5856_lociStitched	chr3	21952696	21964229	3	587	4948.8103	1413.9458
3_Mef2Da2_5d_peak_5870_lociStitched	chr3	28420279	28431749	3	497	4090.202	1411.957
2_Mef2Da2_5d_peak_4774_lociStitched	chr18	70633717	70645157	2	320	3166.592	852.28
2_Mef2Da2_5d_peak_7134_lociStitched	chr5	74682688	74694122	2	429	1553.8806	1054.2148
2_Mef2Da2_5d_peak_6244_lociStitched	chr3	125327281	125338691	2	233	1752.576	960.722
2_Mef2Da2_5d_peak_6718_lociStitched	chr4	120234999	120246399	2	301	3250.14	1179.9
2_Mef2Da2_5d_peak_8992_lociStitched	chr9	44076733	44088116	2	571	7155.3538	1006.2572
2_Mef2Da2_5d_peak_2871_lociStitched	chr14	20874067	20885425	2	399	3358.5606	1249.38
4_Mef2Da2_5d_peak_8400_lociStitched	chr8	11372282	11383598	4	666	5543.7084	1577.4504
2_Mef2Da2_5d_peak_7939_lociStitched	chr7	28919963	28931239	2	377	8671.244	1230.2116
3_Mef2Da2_5d_peak_7749_lociStitched	chr6	120182132	120193363	3	604	12957.2047	1363.4434
2_Mef2Da2_5d_peak_7714_lociStitched	chr6	114798037	114809258	2	291	3404.4514	1403.7471
2_Mef2Da2_5d_peak_2680_lociStitched	chr13	91405178	91416390	2	311	1447.4692	1215.3808
3_Mef2Da2_5d_peak_1033_lociStitched	chr10	59622660	59633851	3	499	9173.2627	1903.5891
2_Mef2Da2_5d_peak_7880_lociStitched	chr6	149343934	149355123	2	454	3742.7205	1156.9426
2_Mef2Da2_5d_peak_3103_lociStitched	chr14	77500252	77511437	2	466	1876.843	1212.454
2_Mef2Da2_5d_peak_3210_lociStitched	chr15	25449017	25460200	2	339	5502.036	1461.6181
2_Mef2Da2_5d_peak_2351_lociStitched	chr13	12312154	12323337	2	283	7442.2865	1187.6346
2_Mef2Da2_5d_peak_2961_lociStitched	chr14	47638683	47649866	2	325	2658.1991	782.81
2_Mef2Da2_5d_peak_152_lociStitched	chr1	59433408	59444589	2	475	4174.9854	1348.4286
2_Mef2Da2_5d_peak_226_lociStitched	chr1	73951311	73962479	2	389	9371.0688	1298.8384
2_Mef2Da2_5d_peak_1212_lociStitched	chr10	86302727	86313888	2	563	5763.5404	1844.9133
2_Mef2Da2_5d_peak_3404_lociStitched	chr15	59587998	59599117	2	578	7994.561	1617.8145
2_Mef2Da2_5d_peak_681_lociStitched	chr1	178357951	178369034	2	215	2483.7003	990.8202
3_Mef2Da2_5d_peak_7021_lociStitched	chr5	36367146	36378208	3	511	9163.7608	1348.4578
2_Mef2Da2_5d_peak_4227_lociStitched	chr17	44204584	44215640	2	716	1671.6672	1316.7696
3_Mef2Da2_5d_peak_6800_lociStitched	chr4	135601624	135612639	3	501	2760.359	1091.5865
3_Mef2Da2_5d_peak_1554_lociStitched	chr11	59138672	59149659	3	723	4303.6079	1215.1622
2_Mef2Da2_5d_peak_7008_lociStitched	chr5	35060261	35071243	2	329	4277.489	1102.5928
2_Mef2Da2_5d_peak_2949_lociStitched	chr14	45773426	45784324	2	419	7582.8284	1329.556
2_Mef2Da2_5d_peak_8109_lociStitched	chr7	80468903	80479797	2	444	1746.3082	834.4804
3_Mef2Da2_5d_peak_8909_lociStitched	chr9	14585811	14596700	3	545	6302.5532	1000.6991
3_Mef2Da2_5d_peak_3774_lociStitched	chr16	22108262	22119131	3	690	5793.177	1192.3293
2_Mef2Da2_5d_peak_1706_lociStitched	chr11	88394595	88405442	2	660	3383.1793	1054.3284
2_Mef2Da2_5d_peak_3226_lociStitched	chr15	25904522	25915363	2	446	8768.2008	1805.0265
2_Mef2Da2_5d_peak_7593_lociStitched	chr6	86574651	86585491	2	451	2453.092	933.324
2_Mef2Da2_5d_peak_8383_lociStitched	chr8	6223487	6234323	2	290	746.6004	859.2948
2_Mef2Da2_5d_peak_4457_lociStitched	chr18	5380818	5391629	2	331	6591.4667	1217.3186
2_Mef2Da2_5d_peak_3352_lociStitched	chr15	55128823	55139624	2	581	16959.7302	1905.2964
2_Mef2Da2_5d_peak_8603_lociStitched	chr8	77481884	77492641	2	283	9942.6951	1389.8044
2_Mef2Da2_5d_peak_4586_lociStitched	chr18	39230456	39241195	2	371	3628.7081	1168.4032
2_Mef2Da2_5d_peak_3512_lociStitched	chr15	77163541	77174265	2	323	6311.074	1724.4192
2_Mef2Da2_5d_peak_2124_lociStitched	chr12	79044777	79055497	2	371	7344.272	1361.44
2_Mef2Da2_5d_peak_8974_lociStitched	chr9	40590060	40600746	2	312	1835.8548	826.0278
3_Mef2Da2_5d_peak_34_lociStitched	chr1	20624512	20635180	3	700	6289.8528	1147.8768
2_Mef2Da2_5d_peak_1873_lociStitched	chr11	110815272	110825935	2	247	1583.4555	1076.963
2_Mef2Da2_5d_peak_6093_lociStitched	chr3	95990869	96001500	2	220	9933.6064	1199.1768
2_Mef2Da2_5d_peak_8087_lociStitched	chr7	75384526	75395157	2	301	5277.2284	862.1741
2_Mef2Da2_5d_peak_687_lociStitched	chr1	179289892	179300516	2	628	1472.4864	1018.8416
5_Mef2Da2_5d_peak_1737_lociStitched	chr11	94221434	94232054	5	725	8635.122	1344.492
3_Mef2Da2_5d_peak_9373_lociStitched	chr9	123294672	123305281	3	431	3838.3362	1017.4031
2_Mef2Da2_5d_peak_28_lociStitched	chr1	17041293	17051870	2	513	3760.1235	1141.2583
2_Mef2Da2_5d_peak_2799_lociStitched	chr13	110633332	110643908	2	394	5549.2272	1040.6784
