#Mef2Da2_5d_peaks Enhancers
#Created from DYSE_OUT_1906232025_2/ROSE_OUTPUT/Mef2Da2_5d_peaks/Mef2Da2_5d_peaks_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by X4d_myotH3K27ac.bam
#Using cutoff of 2089.2465 for Super-Enhancers
#Created on Jun 23 2019 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X4d_myotH3K27ac.bam	Input_MT_5d.bam	enhancerRank	isSuper
7_Mef2Da2_5d_peak_3995_lociStitched	chr16	92948583	92983228	7	1226	35466.0865	4781.01	1	1
4_Mef2Da2_5d_peak_5741_lociStitched	chr2	163345061	163363546	4	660	28276.5045	2534.2935	2	1
5_Mef2Da2_5d_peak_1663_lociStitched	chr11	80485822	80509162	5	1174	26003.094	3013.194	3	1
4_Mef2Da2_5d_peak_5322_lociStitched	chr2	60689040	60713118	4	893	23822.7732	3289.0548	4	1
4_Mef2Da2_5d_peak_1171_lociStitched	chr10	81412154	81433143	4	898	21734.1095	2354.9658	5	1
5_Mef2Da2_5d_peak_6987_lociStitched	chr5	31627288	31645125	5	1228	21397.2652	2386.5906	6	1
6_Mef2Da2_5d_peak_8017_lociStitched	chr7	49359318	49397976	6	1023	22556.943	3626.1204	7	1
9_Mef2Da2_5d_peak_188_lociStitched	chr1	66922126	66965087	9	2267	22584.5977	4382.022	8	1
4_Mef2Da2_5d_peak_4159_lociStitched	chr17	29050912	29063544	4	943	19799.3968	1723.0048	9	1
5_Mef2Da2_5d_peak_3657_lociStitched	chr15	99333029	99352563	5	1216	21528.4214	3689.9726	10	1
4_Mef2Da2_5d_peak_7527_lociStitched	chr6	54248940	54268580	4	640	19506.448	2453.036	11	1
7_Mef2Da2_5d_peak_3270_lociStitched	chr15	34043742	34079738	7	1298	22349.9164	5392.2008	12	1
3_Mef2Da2_5d_peak_8848_lociStitched	chr8	124632977	124653660	3	672	18751.2078	2136.5539	13	1
3_Mef2Da2_5d_peak_2610_lociStitched	chr13	63108804	63119060	3	548	17716.2144	1317.896	14	1
4_Mef2Da2_5d_peak_7584_lociStitched	chr6	84225646	84251307	4	940	19179.0314	2951.015	15	1
5_Mef2Da2_5d_peak_3678_lociStitched	chr15	101240867	101260664	5	1313	18876.4395	2846.8086	16	1
4_Mef2Da2_5d_peak_4191_lociStitched	chr17	31914504	31930593	4	593	17926.3638	2035.2585	17	1
3_Mef2Da2_5d_peak_790_lociStitched	chr1	192789310	192807118	3	451	18002.1072	2186.8224	18	1
4_Mef2Da2_5d_peak_4667_lociStitched	chr18	61380351	61397284	4	1044	17644.186	1877.8697	19	1
4_Mef2Da2_5d_peak_5806_lociStitched	chr2	180362640	180377012	4	1348	17509.4076	1818.058	20	1
3_Mef2Da2_5d_peak_1939_lociStitched	chr12	8436706	8450871	3	617	17660.922	2045.426	21	1
3_Mef2Da2_5d_peak_2442_lociStitched	chr13	32922591	32935216	3	683	17329.075	1990.9625	22	1
4_Mef2Da2_5d_peak_4536_lociStitched	chr18	32340200	32365821	4	799	19261.8678	4012.2486	23	1
2_Mef2Da2_5d_peak_3352_lociStitched	chr15	55128823	55139624	2	581	16959.7302	1905.2964	24	1
6_Mef2Da2_5d_peak_6374_lociStitched	chr4	11975787	12008365	6	976	19032.0676	4052.7032	25	1
3_Mef2Da2_5d_peak_4054_lociStitched	chr17	7633471	7656252	3	398	17969.6528	3259.9611	26	1
4_Mef2Da2_5d_peak_8838_lociStitched	chr8	123872192	123889324	4	845	16546.0856	1867.388	27	1
3_Mef2Da2_5d_peak_96_lociStitched	chr1	40840649	40855653	3	598	16484.8948	1855.9948	28	1
5_Mef2Da2_5d_peak_1317_lociStitched	chr10	118640252	118658066	5	1547	17153.1006	2702.3838	29	1
4_Mef2Da2_5d_peak_1827_lociStitched	chr11	104558217	104577031	4	707	16191.3284	2366.8012	30	1
2_Mef2Da2_5d_peak_1324_lociStitched	chr10	118989930	119001617	2	571	15588.1206	1768.2431	31	1
4_Mef2Da2_5d_peak_250_lociStitched	chr1	75538762	75559713	4	579	15887.1433	2268.9933	32	1
4_Mef2Da2_5d_peak_3576_lociStitched	chr15	83469589	83474530	4	757	14616.4662	1025.7516	33	1
5_Mef2Da2_5d_peak_1189_lociStitched	chr10	84388429	84409612	5	1167	16499.4387	3069.4167	34	1
4_Mef2Da2_5d_peak_1510_lociStitched	chr11	52073933	52089464	4	673	15416.0706	2107.5567	35	1
3_Mef2Da2_5d_peak_5721_lociStitched	chr2	156724243	156737231	3	559	14997.2436	1761.1728	36	1
5_Mef2Da2_5d_peak_473_lociStitched	chr1	135770993	135795161	5	987	15680.1984	2776.9032	37	1
3_Mef2Da2_5d_peak_8590_lociStitched	chr8	72577863	72588096	3	843	13891.2975	1196.2377	38	1
5_Mef2Da2_5d_peak_5397_lociStitched	chr2	77102601	77127212	5	1465	15593.5296	3029.6141	39	1
4_Mef2Da2_5d_peak_3837_lociStitched	chr16	30502729	30518770	4	503	14355.0909	1958.6061	40	1
3_Mef2Da2_5d_peak_3390_lociStitched	chr15	59054894	59071669	3	567	15292.09	2918.85	41	1
3_Mef2Da2_5d_peak_6207_lociStitched	chr3	121474826	121481893	3	907	13356.63	1012.7011	42	1
4_Mef2Da2_5d_peak_7686_lociStitched	chr6	101327826	101345217	4	705	14484.9639	2177.3532	43	1
6_Mef2Da2_5d_peak_6233_lociStitched	chr3	123138436	123152021	6	1425	14144.702	1899.183	44	1
3_Mef2Da2_5d_peak_2920_lociStitched	chr14	31659607	31670085	3	736	13832.0078	1587.417	45	1
3_Mef2Da2_5d_peak_2617_lociStitched	chr13	63240888	63246089	3	481	13058.1507	894.0519	46	1
3_Mef2Da2_5d_peak_7996_lociStitched	chr7	46337695	46350306	3	458	13443.326	1292.6275	47	1
6_Mef2Da2_5d_peak_3791_lociStitched	chr16	24156716	24183318	6	1095	15234.9654	3253.4246	48	1
5_Mef2Da2_5d_peak_7843_lociStitched	chr6	146004166	146010587	5	633	12985.1883	1018.3706	49	1
4_Mef2Da2_5d_peak_7857_lociStitched	chr6	146899627	146918478	4	744	14273.9772	2509.0681	50	1
3_Mef2Da2_5d_peak_2038_lociStitched	chr12	51706892	51729308	3	468	14404.5216	2649.5712	51	1
4_Mef2Da2_5d_peak_7628_lociStitched	chr6	90688818	90703510	4	906	13528.3936	1849.7228	52	1
3_Mef2Da2_5d_peak_7749_lociStitched	chr6	120182132	120193363	3	604	12957.2047	1363.4434	53	1
3_Mef2Da2_5d_peak_1537_lociStitched	chr11	55005286	55027882	3	532	14276.1528	2693.4432	54	1
4_Mef2Da2_5d_peak_3374_lociStitched	chr15	57717499	57727560	4	726	13187.9588	1624.8515	55	1
2_Mef2Da2_5d_peak_1010_lociStitched	chr10	45299587	45311932	2	520	13435.0635	2020.8765	56	1
4_Mef2Da2_5d_peak_1288_lociStitched	chr10	111547999	111576199	4	699	14720.4	3352.98	57	1
3_Mef2Da2_5d_peak_5749_lociStitched	chr2	163670991	163686030	3	713	13237.3278	1876.8672	58	1
5_Mef2Da2_5d_peak_8406_lociStitched	chr8	11689939	11706101	5	941	13610.0202	2272.3772	59	1
4_Mef2Da2_5d_peak_6301_lociStitched	chr3	138103897	138119699	4	746	12815.422	1964.1886	60	1
5_Mef2Da2_5d_peak_4467_lociStitched	chr18	5920020	5946466	5	911	13355.23	2530.8822	61	1
4_Mef2Da2_5d_peak_9103_lociStitched	chr9	61638988	61658304	4	1071	12746.6284	2078.4016	62	1
3_Mef2Da2_5d_peak_7595_lociStitched	chr6	86598812	86620274	3	444	13263.516	2699.9196	63	1
3_Mef2Da2_5d_peak_7088_lociStitched	chr5	64360655	64368737	3	595	11702.736	1157.3424	64	1
2_Mef2Da2_5d_peak_671_lociStitched	chr1	177009060	177015255	2	211	11509.071	992.439	65	1
3_Mef2Da2_5d_peak_2900_lociStitched	chr14	25750733	25759427	3	437	11497.815	1098.0522	66	1
2_Mef2Da2_5d_peak_2549_lociStitched	chr13	49352813	49362497	2	228	11767.0284	1448.7264	67	1
