REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	4d_myotH3K27ac.bam	Input_MT_5d.bam
7_Myf6_5d.nodup_peak_6678_lociStitched	chr19	47413577	47459511	7	1349	39020.933	5190.542
5_Myf6_5d.nodup_peak_7031_lociStitched	chr2	38040998	38083735	5	1058	7094.342	3927.5303
6_Myf6_5d.nodup_peak_10177_lociStitched	chr5	125232648	125274118	6	1089	23836.956	4350.203
8_Myf6_5d.nodup_peak_9261_lociStitched	chr4	134591549	134631627	8	1676	15361.8974	3995.7766
8_Myf6_5d.nodup_peak_12629_lociStitched	chr8	126839079	126877156	8	1959	28112.2491	4527.3553
8_Myf6_5d.nodup_peak_4928_lociStitched	chr16	24200288	24238176	8	1827	21861.376	4156.3136
6_Myf6_5d.nodup_peak_10142_lociStitched	chr5	123968589	124005904	6	993	18168.6735	3653.1385
7_Myf6_5d.nodup_peak_4383_lociStitched	chr15	58975876	59013089	7	1095	36334.7732	5749.4085
11_Myf6_5d.nodup_peak_12550_lociStitched	chr8	122636123	122672218	11	2774	12250.643	4100.392
5_Myf6_5d.nodup_peak_479_lociStitched	chr1	91003620	91038757	5	862	18053.3906	3794.796
7_Myf6_5d.nodup_peak_5242_lociStitched	chr16	92948577	92983287	7	1842	35529.156	4786.509
5_Myf6_5d.nodup_peak_3416_lociStitched	chr13	37658157	37692435	5	1314	25317.7308	4106.5044
6_Myf6_5d.nodup_peak_1841_lociStitched	chr11	11823996	11857284	6	1627	15219.2736	3744.9
4_Myf6_5d.nodup_peak_3254_lociStitched	chr13	9319823	9350977	4	805	13137.6418	3638.7872
6_Myf6_5d.nodup_peak_2784_lociStitched	chr12	29110372	29141441	6	1415	2544.5511	2053.6609
8_Myf6_5d.nodup_peak_11276_lociStitched	chr7	46340486	46371413	8	1851	28759.0173	3500.9364
4_Myf6_5d.nodup_peak_11639_lociStitched	chr7	110619067	110649464	4	664	8878.9637	2465.1967
5_Myf6_5d.nodup_peak_570_lociStitched	chr1	120025056	120055336	5	1164	12036.3	3224.82
5_Myf6_5d.nodup_peak_6443_lociStitched	chr19	10691568	10721218	5	730	12684.27	3184.41
5_Myf6_5d.nodup_peak_6176_lociStitched	chr18	61805302	61833819	5	1074	12319.344	2777.5558
7_Myf6_5d.nodup_peak_9482_lociStitched	chr4	155120641	155149087	7	1259	12854.7474	3097.7694
5_Myf6_5d.nodup_peak_4618_lociStitched	chr15	84241617	84269800	5	789	19423.7236	3689.1547
5_Myf6_5d.nodup_peak_11103_lociStitched	chr7	6749301	6777442	5	1171	15919.3637	2270.9787
4_Myf6_5d.nodup_peak_5228_lociStitched	chr16	92555156	92582536	4	672	6324.78	2831.092
4_Myf6_5d.nodup_peak_6726_lociStitched	chr19	55747431	55774497	4	636	8225.3574	3228.9738
5_Myf6_5d.nodup_peak_2258_lociStitched	chr11	80485719	80512698	5	1241	28783.8951	3555.8322
4_Myf6_5d.nodup_peak_7117_lociStitched	chr2	59685297	59712276	4	696	4640.388	2840.8887
4_Myf6_5d.nodup_peak_10986_lociStitched	chr6	128053063	128078793	4	853	7739.584	2562.708
5_Myf6_5d.nodup_peak_10995_lociStitched	chr6	128250673	128276045	5	1021	19731.8044	2813.7548
5_Myf6_5d.nodup_peak_13388_lociStitched	chr9	121332166	121357420	5	1063	16783.8084	2790.567
4_Myf6_5d.nodup_peak_3743_lociStitched	chr13	97365735	97390894	4	547	7972.8871	2870.6419
5_Myf6_5d.nodup_peak_308_lociStitched	chr1	66940149	66965124	5	988	11948.04	2567.43
3_Myf6_5d.nodup_peak_3747_lociStitched	chr13	97764222	97789156	3	589	8031.2414	3064.3886
6_Myf6_5d.nodup_peak_12513_lociStitched	chr8	120251484	120276216	6	1430	7553.1528	2510.298
4_Myf6_5d.nodup_peak_4714_lociStitched	chr15	99334578	99359156	4	717	21690.085	4483.0272
5_Myf6_5d.nodup_peak_11420_lociStitched	chr7	74391479	74415526	5	848	9582.7295	2296.4885
4_Myf6_5d.nodup_peak_5555_lociStitched	chr17	31767479	31791208	4	1016	13596.717	3037.312
5_Myf6_5d.nodup_peak_3919_lociStitched	chr14	25493975	25517419	5	786	18070.6352	2876.5788
4_Myf6_5d.nodup_peak_10657_lociStitched	chr6	82862522	82885836	4	574	8936.2562	2266.1208
3_Myf6_5d.nodup_peak_8564_lociStitched	chr3	147943409	147966695	3	493	1143.3426	1338.945
4_Myf6_5d.nodup_peak_5653_lociStitched	chr17	48001290	48024401	4	556	7071.966	1897.4131
3_Myf6_5d.nodup_peak_7183_lociStitched	chr2	71629544	71652652	3	520	6068.1608	2123.6252
5_Myf6_5d.nodup_peak_10905_lociStitched	chr6	116385279	116408286	5	864	10127.6814	1750.8327
3_Myf6_5d.nodup_peak_4868_lociStitched	chr16	18751367	18774235	3	744	6627.1464	2526.914
4_Myf6_5d.nodup_peak_5341_lociStitched	chr17	7633468	7656241	4	717	17951.9559	3258.8163
5_Myf6_5d.nodup_peak_8215_lociStitched	chr3	89578868	89601276	5	1322	12015.1696	2727.0536
3_Myf6_5d.nodup_peak_10240_lociStitched	chr5	136290014	136312379	3	711	15311.079	2352.798
5_Myf6_5d.nodup_peak_11409_lociStitched	chr7	73708376	73730738	5	844	990.6366	1500.4902
