REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	myobH3K27ac.bam	Input_MB.bam
32_Snai1_GM.nodup_peak_1624_lociStitched	chr9	2999983	3036149	32	5800	3391083.2904	5494204.9058
17_Snai1_GM.nodup_peak_1734_lociStitched	chrM	18	16276	17	5495	715.352	395771.7456
2_Snai1_GM.nodup_peak_818_lociStitched	chr18	23441430	23454051	2	188	501.0537	1639.4679
2_Snai1_GM.nodup_peak_1720_lociStitched	chr9	105272399	105284868	2	239	185.7881	655.8694
2_Snai1_GM.nodup_peak_561_lociStitched	chr14	74852933	74864306	2	174	1729.8333	1236.2451
2_Snai1_GM.nodup_peak_472_lociStitched	chr13	107266393	107277325	2	178	378.2472	780.5448
2_Snai1_GM.nodup_peak_82_lociStitched	chr1	78121645	78132391	2	179	280.4706	944.5734
2_Snai1_GM.nodup_peak_619_lociStitched	chr15	8805156	8815548	2	174	2960.6808	1576.4664
3_Snai1_GM.nodup_peak_1244_lociStitched	chr4	147509383	147519638	3	261	537.362	2802.6915
2_Snai1_GM.nodup_peak_949_lociStitched	chr2	54431226	54440895	2	330	126.6639	613.0146
2_Snai1_GM.nodup_peak_521_lociStitched	chr14	47638753	47648153	2	174	833.78	672.1
2_Snai1_GM.nodup_peak_984_lociStitched	chr2	94524669	94531651	2	212	101.9372	444.0552
2_Snai1_GM.nodup_peak_1685_lociStitched	chr9	65196472	65201806	2	469	2247.2142	530.1996
4_Snai1_GM.nodup_peak_990_lociStitched	chr2	98662215	98667329	4	2578	5133544.6852	7731450.5484
2_Snai1_GM.nodup_peak_1393_lociStitched	chr6	47743997	47748571	2	208	4900.5836	1947.1518
2_Snai1_GM.nodup_peak_710_lociStitched	chr16	42676730	42680901	2	174	322.8354	492.5951
8_Snai1_GM.nodup_peak_487_lociStitched	chr14	19415718	19419449	8	3034	1225105.1904	1767224.7138
2_Snai1_GM.nodup_peak_911_lociStitched	chr2	11455861	11458816	2	240	219.5565	369.6705
2_Snai1_GM.nodup_peak_33_lociStitched	chr1	20670056	20672723	2	192	933.1833	321.1068
2_Snai1_GM.nodup_peak_592_lociStitched	chr14	101511255	101513231	2	176	19.3648	137.9248
2_Snai1_GM.nodup_peak_1209_lociStitched	chr4	91379610	91380993	2	222	0.0	93.9057
2_Snai1_GM.nodup_peak_914_lociStitched	chr2	19064467	19065374	2	175	17.6865	97.3211
2_Snai1_GM.nodup_peak_280_lociStitched	chr11	77720796	77721669	2	222	95.2443	119.7756
2_Snai1_GM.nodup_peak_39_lociStitched	chr1	24612682	24613180	2	240	0.0	5937.2058
2_Snai1_GM.nodup_peak_365_lociStitched	chr12	74803875	74804354	2	253	8273.3359	10616.7476
1_Snai1_GM.nodup_peak_1666_lociStitched	chr9	35305193	35305538	1	346	300081.1035	430608.024
1_Snai1_GM.nodup_peak_1429_lociStitched	chr6	103649017	103649332	1	316	256336.6365	260108.2575
1_Snai1_GM.nodup_peak_320_lociStitched	chr12	3109835	3110137	1	303	148351.2788	232200.9446
1_Snai1_GM.nodup_peak_1548_lociStitched	chr8	44867894	44868136	1	243	82.5704	17.0852
2_Snai1_GM.nodup_peak_270_lociStitched	chr11	69073394	69073636	2	174	5.7112	41.0432
1_Snai1_GM.nodup_peak_562_lociStitched	chr14	75835062	75835293	1	232	2266.4565	47.3088
1_Snai1_GM.nodup_peak_542_lociStitched	chr14	63681567	63681795	1	229	0.0	28.9104
1_Snai1_GM.nodup_peak_1221_lociStitched	chr4	117189982	117190208	1	227	0.0	23.9786
1_Snai1_GM.nodup_peak_890_lociStitched	chr19	35298683	35298896	1	214	24.8784	33.015
1_Snai1_GM.nodup_peak_1387_lociStitched	chr6	39899356	39899566	1	211	0.504	18.879
1_Snai1_GM.nodup_peak_1450_lociStitched	chr7	6410148	6410349	1	202	0.0	36.5016
1_Snai1_GM.nodup_peak_1132_lociStitched	chr3	112161012	112161212	1	201	0.0	2.3
1_Snai1_GM.nodup_peak_122_lociStitched	chr1	146106969	146107162	1	194	0.0	31.0923
1_Snai1_GM.nodup_peak_1657_lociStitched	chr9	24541981	24542170	1	190	39485.5776	33641.4897
1_Snai1_GM.nodup_peak_1030_lociStitched	chr2	143164208	143164395	1	188	0.0	22.9075
1_Snai1_GM.nodup_peak_1808_lociStitched	chrX	161375592	161375779	1	188	0.0	23.562
1_Snai1_GM.nodup_peak_1352_lociStitched	chr5	146147511	146147696	1	186	0.0	3.8295
1_Snai1_GM.nodup_peak_1525_lociStitched	chr7	136365869	136366053	1	185	0.0	0.0
1_Snai1_GM.nodup_peak_1789_lociStitched	chrX	117546813	117546997	1	185	0.0	3.2384
1_Snai1_GM.nodup_peak_22_lociStitched	chr1	8123234	8123414	1	181	0.0	8.172
1_Snai1_GM.nodup_peak_318_lociStitched	chr11	118584950	118585126	1	177	0.0	13.6752
1_Snai1_GM.nodup_peak_514_lociStitched	chr14	33418550	33418726	1	177	6.952	24.0064
1_Snai1_GM.nodup_peak_1341_lociStitched	chr5	132217081	132217255	1	175	0.0	12.528
1_Snai1_GM.nodup_peak_1710_lociStitched	chr9	93706777	93706950	1	174	0.0	0.0
1_Snai1_GM.nodup_peak_1767_lociStitched	chrX	76598942	76599115	1	174	489.7976	1557.7612
1_Snai1_GM.nodup_peak_1133_lociStitched	chr3	113090981	113091153	1	173	10.8016	4.8848
1_Snai1_GM.nodup_peak_467_lociStitched	chr13	103288684	103288853	1	170	0.0	15.0241
1_Snai1_GM.nodup_peak_41_lociStitched	chr1	25228700	25228867	1	168	0.0	10.9886
1_Snai1_GM.nodup_peak_1698_lociStitched	chr9	84475998	84476163	1	166	0.0	18.0015
1_Snai1_GM.nodup_peak_1799_lociStitched	chrX	143482977	143483141	1	165	36733.9992	47641.4424
1_Snai1_GM.nodup_peak_1536_lociStitched	chr8	14072649	14072813	1	165	0.0	33.5052
1_Snai1_GM.nodup_peak_297_lociStitched	chr11	93107307	93107470	1	164	0.0	8.7368
1_Snai1_GM.nodup_peak_187_lociStitched	chr10	49785601	49785764	1	164	0.0	17.0335
1_Snai1_GM.nodup_peak_955_lociStitched	chr2	65526604	65526767	1	164	0.0	2.6569
1_Snai1_GM.nodup_peak_344_lociStitched	chr12	42972866	42973028	1	163	0.0	4.6656
1_Snai1_GM.nodup_peak_1176_lociStitched	chr4	21712279	21712438	1	160	18.1737	24.8358
1_Snai1_GM.nodup_peak_356_lociStitched	chr12	64995070	64995226	1	157	0.0	6.5052
1_Snai1_GM.nodup_peak_1394_lociStitched	chr6	47778151	47778306	1	156	89.466	56.7765
1_Snai1_GM.nodup_peak_597_lociStitched	chr14	104430913	104431067	1	155	0.0	13.3056
1_Snai1_GM.nodup_peak_216_lociStitched	chr10	98629380	98629534	1	155	0.5698	10.01
1_Snai1_GM.nodup_peak_1451_lociStitched	chr7	12200243	12200397	1	155	8.1158	2.464
1_Snai1_GM.nodup_peak_628_lociStitched	chr15	28823608	28823761	1	154	0.0	14.1066
1_Snai1_GM.nodup_peak_1667_lociStitched	chr9	38413637	38413790	1	154	7.9713	0.0
1_Snai1_GM.nodup_peak_679_lociStitched	chr15	84829527	84829680	1	154	4.131	29.7738
1_Snai1_GM.nodup_peak_1432_lociStitched	chr6	107415906	107416059	1	154	0.0	10.3275
1_Snai1_GM.nodup_peak_738_lociStitched	chr16	81623401	81623554	1	154	0.0	6.1353
1_Snai1_GM.nodup_peak_615_lociStitched	chr15	4367924	4368076	1	153	0.0	9.0896
1_Snai1_GM.nodup_peak_1760_lociStitched	chrX	71982408	71982560	1	153	7.068	1.9608
1_Snai1_GM.nodup_peak_660_lociStitched	chr15	72568643	72568795	1	153	0.0	8.9072
1_Snai1_GM.nodup_peak_387_lociStitched	chr12	98588700	98588850	1	151	0.0	10.71
1_Snai1_GM.nodup_peak_1733_lociStitched	chr9	124108334	124108484	1	151	0.0	0.465
1_Snai1_GM.nodup_peak_351_lociStitched	chr12	55875152	55875301	1	150	0.0	10.5492
1_Snai1_GM.nodup_peak_703_lociStitched	chr16	23113969	23114117	1	149	0.0	10.8484
1_Snai1_GM.nodup_peak_1195_lociStitched	chr4	70378104	70378252	1	149	9165.936	10718.7224
1_Snai1_GM.nodup_peak_144_lociStitched	chr1	178798480	178798628	1	149	23.4136	11.5884
1_Snai1_GM.nodup_peak_1540_lociStitched	chr8	32695762	32695909	1	148	0.0	10.8045
1_Snai1_GM.nodup_peak_782_lociStitched	chr17	70646769	70646916	1	148	23.8875	12.3921
1_Snai1_GM.nodup_peak_1303_lociStitched	chr5	63689219	63689365	1	147	0.0	19.0822
1_Snai1_GM.nodup_peak_307_lociStitched	chr11	103656647	103656792	1	146	0.0	13.282
1_Snai1_GM.nodup_peak_601_lociStitched	chr14	105377857	105378001	1	145	34.7184	30.7584
1_Snai1_GM.nodup_peak_877_lociStitched	chr19	9482713	9482855	1	143	0.0	3.3512
