#Pbx1mb_peaks Enhancers
#Created from DYSE_OUT_1906180740_1/ROSE_OUTPUT/Pbx1mb_peaks/Pbx1mb_peaks_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by myobH3K27ac.bam
#Using cutoff of 5910.7248 for Super-Enhancers
#Created on Jun 18 2019 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	myobH3K27ac.bam	Input_MB.bam	enhancerRank	isSuper
13_Pbx1mb_peak_17220_lociStitched	chr8	84183034	84204379	13	4465	116695.2495	4068.357	1	1
6_Pbx1mb_peak_17255_lociStitched	chr8	84730857	84761259	6	2147	110009.637	5405.4756	2	1
10_Pbx1mb_peak_13388_lociStitched	chr4	141272903	141311437	10	3740	99722.1386	4974.7394	3	1
4_Pbx1mb_peak_17383_lociStitched	chr8	88279323	88298634	4	4865	74942.1288	3153.4863	4	1
5_Pbx1mb_peak_6545_lociStitched	chr15	85668261	85685082	5	1075	62718.7806	2602.2087	5	1
5_Pbx1mb_peak_17543_lociStitched	chr8	94989827	95023574	5	3804	61632.1461	5035.0524	6	1
7_Pbx1mb_peak_11038_lociStitched	chr2	173258018	173281498	7	2542	56140.68	3331.812	7	1
4_Pbx1mb_peak_431_lociStitched	chr1	74001579	74028932	4	1029	51371.6693	4089.2735	8	1
13_Pbx1mb_peak_6190_lociStitched	chr15	66843989	66894303	13	5202	54852.3228	9881.6696	9	1
6_Pbx1mb_peak_10995_lociStitched	chr2	167569868	167591807	6	2249	46598.436	2788.4469	10	1
3_Pbx1mb_peak_9909_lociStitched	chr2	32869759	32882918	3	927	44107.6521	1851.4713	11	1
5_Pbx1mb_peak_6356_lociStitched	chr15	77806605	77824055	5	2112	43471.44	3722.085	12	1
6_Pbx1mb_peak_4844_lociStitched	chr14	25476092	25505629	6	1590	43894.9357	4548.698	13	1
7_Pbx1mb_peak_14698_lociStitched	chr6	31077077	31100528	7	2751	42162.5529	3510.6147	14	1
3_Pbx1mb_peak_9183_lociStitched	chr19	10279719	10301547	3	1040	40604.4456	2911.8552	15	1
7_Pbx1mb_peak_920_lociStitched	chr1	135844420	135864056	7	1883	40204.71	3359.7196	16	1
2_Pbx1mb_peak_6800_lociStitched	chr15	102959926	102969297	2	475	38276.7866	1461.876	17	1
