#Myf6_5d Enhancers
#Created from DYSE_OUT_1906232345_1/ROSE_OUTPUT/Myf6_5d/Myf6_5d_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by X4d_myotH3K27ac.bam
#Using cutoff of 1882.7487 for Super-Enhancers
#Created on Jun 24 2019 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X4d_myotH3K27ac.bam	Input_MT_5d.bam	enhancerRank	isSuper
7_Myf6_5d.nodup_peak_6678_lociStitched	chr19	47413577	47459511	7	1349	39020.933	5190.542	1	1
7_Myf6_5d.nodup_peak_5242_lociStitched	chr16	92948577	92983287	7	1842	35529.156	4786.509	2	1
7_Myf6_5d.nodup_peak_4383_lociStitched	chr15	58975876	59013089	7	1095	36334.7732	5749.4085	3	1
8_Myf6_5d.nodup_peak_11276_lociStitched	chr7	46340486	46371413	8	1851	28759.0173	3500.9364	4	1
5_Myf6_5d.nodup_peak_2258_lociStitched	chr11	80485719	80512698	5	1241	28783.8951	3555.8322	5	1
3_Myf6_5d.nodup_peak_4203_lociStitched	chr15	25762302	25779774	3	584	27458.9952	3026.1504	6	1
8_Myf6_5d.nodup_peak_12629_lociStitched	chr8	126839079	126877156	8	1959	28112.2491	4527.3553	7	1
3_Myf6_5d.nodup_peak_4336_lociStitched	chr15	55128719	55147341	3	924	26413.4448	3186.2242	8	1
3_Myf6_5d.nodup_peak_7726_lociStitched	chr2	163345006	163361488	3	607	25186.1442	2226.7182	9	1
5_Myf6_5d.nodup_peak_3416_lociStitched	chr13	37658157	37692435	5	1314	25317.7308	4106.5044	10	1
6_Myf6_5d.nodup_peak_1523_lociStitched	chr10	81412064	81433987	6	1112	22598.2284	2459.7606	11	1
5_Myf6_5d.nodup_peak_6689_lociStitched	chr19	47885448	47903679	5	1227	22559.0394	2490.3546	12	1
6_Myf6_5d.nodup_peak_10177_lociStitched	chr5	125232648	125274118	6	1089	23836.956	4350.203	13	1
3_Myf6_5d.nodup_peak_3923_lociStitched	chr14	25736750	25755082	3	499	21897.574	2445.4888	14	1
6_Myf6_5d.nodup_peak_12188_lociStitched	chr8	72566098	72588120	6	1068	21405.384	2541.3388	15	1
7_Myf6_5d.nodup_peak_5502_lociStitched	chr17	29050788	29063539	7	1759	19976.9917	1735.4111	16	1
5_Myf6_5d.nodup_peak_522_lociStitched	chr1	92776018	92790459	5	1163	20301.1578	2131.4916	17	1
4_Myf6_5d.nodup_peak_334_lociStitched	chr1	72951901	72969721	4	1196	20156.202	2191.86	18	1
8_Myf6_5d.nodup_peak_4928_lociStitched	chr16	24200288	24238176	8	1827	21861.376	4156.3136	19	1
5_Myf6_5d.nodup_peak_3520_lociStitched	chr13	49345407	49362577	5	1306	20169.599	2470.763	20	1
5_Myf6_5d.nodup_peak_6920_lociStitched	chr2	29702287	29717169	5	843	19455.2386	2013.5346	21	1
4_Myf6_5d.nodup_peak_4714_lociStitched	chr15	99334578	99359156	4	717	21690.085	4483.0272	22	1
5_Myf6_5d.nodup_peak_10995_lociStitched	chr6	128250673	128276045	5	1021	19731.8044	2813.7548	23	1
3_Myf6_5d.nodup_peak_6624_lociStitched	chr19	42000480	42018164	3	600	19241.9604	2534.1172	24	1
5_Myf6_5d.nodup_peak_5563_lociStitched	chr17	31914362	31930646	5	1271	18106.1796	2059.926	25	1
4_Myf6_5d.nodup_peak_6681_lociStitched	chr19	47486246	47500557	4	674	17708.4314	1767.4085	26	1
3_Myf6_5d.nodup_peak_6007_lociStitched	chr18	35832248	35850114	3	571	17694.4864	1808.0392	27	1
3_Myf6_5d.nodup_peak_5757_lociStitched	chr17	70738656	70753949	3	555	17603.7723	1790.8103	28	1
4_Myf6_5d.nodup_peak_7872_lociStitched	chr2	180362577	180376967	4	1246	17594.653	1820.335	29	1
4_Myf6_5d.nodup_peak_1344_lociStitched	chr10	61226885	61249065	4	1000	18699.958	2938.85	30	1
5_Myf6_5d.nodup_peak_10760_lociStitched	chr6	91643508	91660520	5	1342	17828.576	2080.5676	31	1
5_Myf6_5d.nodup_peak_4618_lociStitched	chr15	84241617	84269800	5	789	19423.7236	3689.1547	32	1
4_Myf6_5d.nodup_peak_2701_lociStitched	chr12	8436703	8450911	4	826	17696.064	2053.056	33	1
4_Myf6_5d.nodup_peak_5061_lociStitched	chr16	38368368	38389649	4	878	17922.8582	2579.2572	34	1
4_Myf6_5d.nodup_peak_7635_lociStitched	chr2	152804361	152818534	4	1040	17271.2178	1982.8027	35	1
5_Myf6_5d.nodup_peak_3919_lociStitched	chr14	25493975	25517419	5	786	18070.6352	2876.5788	36	1
4_Myf6_5d.nodup_peak_2316_lociStitched	chr11	88551130	88559834	4	810	16237.312	1141.9648	37	1
4_Myf6_5d.nodup_peak_5341_lociStitched	chr17	7633468	7656241	4	717	17951.9559	3258.8163	38	1
4_Myf6_5d.nodup_peak_11809_lociStitched	chr7	132714752	132729791	4	944	16037.5896	1364.0373	39	1
2_Myf6_5d.nodup_peak_12257_lociStitched	chr8	84735669	84745856	2	329	16104.6283	1466.928	40	1
6_Myf6_5d.nodup_peak_10142_lociStitched	chr5	123968589	124005904	6	993	18168.6735	3653.1385	41	1
5_Myf6_5d.nodup_peak_479_lociStitched	chr1	91003620	91038757	5	862	18053.3906	3794.796	42	1
3_Myf6_5d.nodup_peak_10736_lociStitched	chr6	90698898	90711827	3	671	15966.0221	1794.5452	43	1
5_Myf6_5d.nodup_peak_13388_lociStitched	chr9	121332166	121357420	5	1063	16783.8084	2790.567	44	1
6_Myf6_5d.nodup_peak_9035_lociStitched	chr4	107004101	107018733	6	1063	15650.3872	1804.1256	45	1
5_Myf6_5d.nodup_peak_3226_lociStitched	chr12	113023213	113035343	5	875	15274.096	1573.261	46	1
5_Myf6_5d.nodup_peak_11103_lociStitched	chr7	6749301	6777442	5	1171	15919.3637	2270.9787	47	1
3_Myf6_5d.nodup_peak_9234_lociStitched	chr4	133103700	133117025	3	521	14689.48	1208.5775	48	1
