CHROM	START	END	REGION_ID	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank
chr19	61259872	61267654	3_TAP_Pax7_MB_peak_19597_lociStitched		Csf2ra	Csf2ra	1
chr4	64497812	64497993	1_TAP_Pax7_MB_peak_25927_lociStitched, 1_TAP_Pax3_MB_peak_768_lociStitched			Tnc	3, 1
chr3	5212354	5236804	4_TAP_Pax7_MB_peak_22441_lociStitched	Zfhx4,2700069I18Rik		2700069I18Rik	4
chr8	94989827	95023574	5_Pbx1mb_peak_17543_lociStitched	Gpr56,Gpr97	Ccdc135	Gpr97	6
chr8	20550493	20550617	1_Snai1_GM.nodup_peak_1538_lociStitched			2610005L07Rik	7
chr1	74001579	74028932	4_Pbx1mb_peak_431_lociStitched	Tns1		Tns1	8
chr13	21824785	21834526	2_TAP_Pax7_MB_peak_8874_lociStitched	Hist1h2br,Hist1h4n,Hist1h2ao,Hist1h2ap	Hist1h4m,Hist1h3i,Hist1h1b,Hist1h2an,Hist1h2bp	Hist1h4n	8
chr14	74852933	74867291	2_Snai1_GM.nodup_peak_561_lociStitched, 2_TAP_Pax7_MB_peak_11794_lociStitched	Lrch1		Lrch1	9, 249
chr3	56575444	56575789	1_TAP_Pax3_MB_peak_703_lociStitched			Nbea	9
chr4	133814014	133814113	1_Snai1_GM.nodup_peak_1232_lociStitched			Arid1a	10
chr6	54369999	54370091	1_TAP_Pax3_MB_peak_894_lociStitched	9130019P16Rik	Prr15	Prr15	10
chr9	24541954	24542161	1_TAP_Pax7_MB_peak_35186_lociStitched, 1_TAP_Pax3_MB_peak_1089_lociStitched		Dpy19l1	Dpy19l1	10, 2
chr2	30693404	30693502	1_Snai1_GM.nodup_peak_930_lociStitched		Mir3089	Mir3089	11
chr14	47638753	47648153	2_Snai1_GM.nodup_peak_521_lociStitched		Ktn1	Ktn1	12
chr15	77806605	77824055	5_Pbx1mb_peak_6356_lociStitched	Myh9		Myh9	12
chr17	25914084	25923027	2_TAP_Pax7_MB_peak_16345_lociStitched	Rab40c	Solh,Nhlrc4,Gm10012,Wfikkn1,0610011F06Rik,Pigq,Fam195a	Rab40c	12
chrX	75734752	75734838	1_Snai1_GM.nodup_peak_1764_lociStitched	4933407K13Rik		4933407K13Rik	13
chr5	145280466	145280552	1_Snai1_GM.nodup_peak_1351_lociStitched		Zfp655,Zscan25	Zscan25	14
chr15	102959926	102969297	2_Pbx1mb_peak_6800_lociStitched	Hoxc10	Hoxc12,Mir196a-2,Hoxc9,Hoxc6,Hoxc8,Hoxc13,Hoxc5,Hotair,Hoxc11,Mir615	Hoxc10	17
chr18	69593265	69593351	1_Snai1_GM.nodup_peak_856_lociStitched	Tcf4		Tcf4	18
chr8	84778538	84786832	4_Pbx1mb_peak_17262_lociStitched	Nfix	Nfix,Gadd45gip1,Dand5	Nfix	18
chr10	93403008	93403106	1_Snai1_GM.nodup_peak_214_lociStitched			Lta4h	19
chr9	63395170	63406991	2_TAP_Pax7_MB_peak_35778_lociStitched	2300009A05Rik	Map2k5	2300009A05Rik	19
chr1	90225823	90238581	2_TAP_Pax7_MB_peak_1459_lociStitched		Cxcr7	Cxcr7	20
chr11	3103937	3104038	1_Snai1_GM.nodup_peak_237_lociStitched		Pisd-ps1	Pisd-ps1	20
chr12	84812644	84812772	1_Snai1_GM.nodup_peak_374_lociStitched	Ltbp2	Npc2,Isca2	Isca2	21
chr18	75363079	75392754	9_Pbx1mb_peak_8974_lociStitched	Smad7		Smad7	21
chr3	104635260	104645397	2_TAP_Pax7_MB_peak_23884_lociStitched	Slc16a1		Slc16a1	23
chr8	44867894	44868136	1_Snai1_GM.nodup_peak_1548_lociStitched			Fat1	23
chr7	133082280	133100175	3_TAP_Pax7_MB_peak_32915_lociStitched	Ctbp2	4930483O08Rik	Ctbp2	24
chr13	54608587	54615611	2_TAP_Pax7_MB_peak_9458_lociStitched	Cltb	Arl10,Higd2a,4833439L19Rik,Faf2,Nop16	Cltb	26
chr15	99584861	99596259	4_Pbx1mb_peak_6713_lociStitched	Aqp5	Aqp2,Aqp6	Aqp5	26
chr8	11346307	11348900	2_MyoD_MB_peak_2247_lociStitched	Col4a2	Col4a1	Col4a2	27
chr15	44419662	44432245	4_TAP_Pax7_MB_peak_13427_lociStitched	Eny2,Nudcd1	Pkhd1l1,Nudcd1	Eny2	29
chr3	122497945	122521542	6_Pbx1mb_peak_12024_lociStitched	Bcar3		Bcar3	32
chr8	48839657	48852742	3_TAP_Pax7_MB_peak_33819_lociStitched			Tenm3	32
chr13	109684178	109691956	3_TAP_Pax7_MB_peak_10307_lociStitched	Pde4d		Mir1904	33
chr2	23035176	23045926	2_TAP_Pax7_MB_peak_19996_lociStitched	Abi1	Acbd5,Abi1	Abi1	34
chr8	120150116	120152775	2_MyoD_MB_peak_2343_lociStitched	6430548M08Rik	Zdhhc7,Fam92b,6430548M08Rik	6430548M08Rik	34
chr5	64156045	64167642	2_TAP_Pax7_MB_peak_28060_lociStitched	Tbc1d1		Tbc1d1	35
chr12	25189376	25190657	2_MyoD_MB_peak_537_lociStitched			Gm17746	36
chr17	84070528	84086093	5_Pbx1mb_peak_8358_lociStitched	4933433H22Rik		4933433H22Rik	37
chr9	37232622	37236257	2_TAP_Pax7_MB_peak_35370_lociStitched, 2_TAP_Pax3_MB_peak_1095_lociStitched	Slc37a2	Tmem218	Slc37a2	39, 3
chr8	79561654	79566274	2_TAP_Pax7_MB_peak_34293_lociStitched			Otud4	40
chr18	54969659	54993554	5_TAP_Pax7_MB_peak_18071_lociStitched	Zfp608		Zfp608	42
chr4	155114066	155114273	4_Pbx1mb_peak_13492_lociStitched, 1_TAP_Pax7_MB_peak_27127_lociStitched	Morn1	Pex10,Rer1	Morn1	42, 515
chr2	13370064	13386186	3_TAP_Pax7_MB_peak_19830_lociStitched	Cubn		Rsu1	43
chr5	20947182	20956860	2_TAP_Pax7_MB_peak_27500_lociStitched	A630072M18Rik,Rsbn1l		Rsbn1l	45
chr2	60807488	60813487	2_TAP_Pax7_MB_peak_20587_lociStitched	Rbms1		Rbms1	46
chr14	46965378	46973581	2_TAP_Pax7_MB_peak_11379_lociStitched	Samd4	Samd4	Samd4	47
chr2	154788588	154794162	2_TAP_Pax7_MB_peak_22158_lociStitched	Raly	Raly	Raly	48
chr16	4467431	4478111	2_TAP_Pax7_MB_peak_14315_lociStitched		Srl,Adcy9	Srl	49
chr8	34804252	34815418	2_Pbx1mb_peak_16792_lociStitched	Dusp4		Dusp4	50
chr12	70883335	70891064	2_TAP_Pax7_MB_peak_7791_lociStitched	Frmd6	Actr10	Actr10	51
chr6	119898187	119907967	2_TAP_Pax7_MB_peak_31016_lociStitched	Rad52	3110021A11Rik	Rad52	53
chr8	121124923	121142668	3_Pbx1mb_peak_17717_lociStitched	Foxl1	Fendrr,Foxf1,Foxc2,Mthfsd	Foxl1	53
chr10	25263071	25273986	2_TAP_Pax7_MB_peak_3510_lociStitched	Akap7		Akap7	55
chr4	139689858	139697995	2_MyoD_MB_peak_1827_lociStitched		Tas1r2	Tas1r2	55
chr1	39676435	39699741	4_Pbx1mb_peak_133_lociStitched	Rfx8	Creg2	Rfx8	57
chr11	119209753	119215577	2_MyoD_MB_peak_508_lociStitched	Tbc1d16	Ccdc40	Tbc1d16	57
chr6	98938059	98956351	4_TAP_Pax7_MB_peak_30713_lociStitched	Foxp1		Foxp1	57
