CHROM	START	END	REGION_ID	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank
chr8	84183034	84192387	13_Pbx1mb_peak_17220_lociStitched, 1_MyoD_MB_peak_2310_lociStitched		Mir181c,Zswim4,Mir181d,4930432K21Rik,Nanos3,Cc2d1a,Mir3074-2,Mir24-2,Mir23a,Mir27a	Mir181c	1, 79
chr10	81409643	81422056	2_MyoD_MB_peak_273_lociStitched	Nfic	4930404N11Rik,Fzr1,Dohh,2210404O07Rik	Nfic	2
chr8	84730857	84761259	6_Pbx1mb_peak_17255_lociStitched	Nfix	Lyl1,Nfix,Trmt1,Nacc1	Nfix	2
chr2	180217649	180228820	2_MyoD_MB_peak_1550_lociStitched	Lama5	Adrm1,Cables2,Rps21,Mir3091	Lama5	3
chr4	141272903	141275222	10_Pbx1mb_peak_13388_lociStitched, 2_MyoD_MB_peak_1833_lociStitched		Epha2,Arhgef19	Epha2	3, 12
chr4	136165123	136177954	3_MyoD_MB_peak_1819_lociStitched	E2f2	Asap3,Id3	E2f2	4
chr8	88279323	88298634	4_Pbx1mb_peak_17383_lociStitched	Adcy7		Adcy7	4
chr15	85668261	85685082	5_Pbx1mb_peak_6545_lociStitched		Mirlet7c-2,Mirlet7b	Mirlet7c-2	5
chr2	128729381	128759186	4_TAP_Pax7_MB_peak_21742_lociStitched	Mertk	Anapc1	Mertk	5
chr15	8805156	8815548	2_Snai1_GM.nodup_peak_619_lociStitched			Slc1a3	6
chr2	49733257	49750235	2_TAP_Pax7_MB_peak_20328_lociStitched, 2_MyoD_MB_peak_1412_lociStitched	Kif5c	Lypd6b	Lypd6b	6, 11
chr5	125244061	125274117	2_MyoD_MB_peak_1957_lociStitched, 7_Pbx1mb_peak_14313_lociStitched			Ncor2	6, 35
chr13	28408391	28426830	3_TAP_Pax7_MB_peak_8993_lociStitched			Prl5a1	7
chr18	60669243	60672957	2_MyoD_MB_peak_1242_lociStitched	G630071F17Rik	Synpo,Ndst1	G630071F17Rik	7
chr2	173258018	173265070	7_Pbx1mb_peak_11038_lociStitched, 2_MyoD_MB_peak_1546_lociStitched	Pmepa1	Zbp1	Pmepa1	7, 68
chr1	20670056	20672723	2_Snai1_GM.nodup_peak_33_lociStitched		Mir133b,Mir206	Mir206	8
chr2	93458751	93469453	2_MyoD_MB_peak_1455_lociStitched	Cd82,Gm10804	Cd82	Cd82	8
chr15	66843989	66894303	13_Pbx1mb_peak_6190_lociStitched	Tg,Wisp1	Sla	Wisp1	9
chr15	66843989	66894303	13_Pbx1mb_peak_6190_lociStitched	Tg,Wisp1	Sla	Wisp1	9
chr11	102998802	103003580	2_MyoD_MB_peak_468_lociStitched	Dcakd	Nmt1,2410004I01Rik	Dcakd	10
chr2	167569868	167591807	6_Pbx1mb_peak_10995_lociStitched		Ube2v1,Snai1	Snai1	10
