CHROM	START	END	REGION_ID	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank
chr6	84225646	84243739	4_Mef2Da2_5d_peak_7584_lociStitched, 3_Myf6_5d.nodup_peak_10667_lociStitched			Gm10445	15, 101
chr18	32340200	32348662	4_Mef2Da2_5d_peak_4536_lociStitched, 2_Myf6_5d.nodup_peak_5973_lociStitched		Bin1,A830052D11Rik	Bin1	23, 606
chr2	180362577	180377012	4_Myf6_5d.nodup_peak_7872_lociStitched, 4_Mef2Da2_5d_peak_5806_lociStitched	B230312C02Rik	Gm6307,Mir1a-1,Gm14318,Mir133a-2,Gata5	Gm6307	29, 20
chr10	61226885	61249065	4_Myf6_5d.nodup_peak_1344_lociStitched	Adamts14	Prf1	Adamts14	30
chr1	75538762	75561935	4_Mef2Da2_5d_peak_250_lociStitched, 4_Myf6_5d.nodup_peak_370_lociStitched	Slc4a3	Inha,Stk11ip,Obsl1	Slc4a3	32, 123
chr6	101327826	101345217	4_Mef2Da2_5d_peak_7686_lociStitched	Pdzrn3		Pdzrn3	43
chr5	136290014	136312379	3_Myf6_5d.nodup_peak_10240_lociStitched	Cux1	Sh2b2	Sh2b2	52
chr15	57717499	57719603	4_Mef2Da2_5d_peak_3374_lociStitched, 2_Myf6_5d.nodup_peak_4352_lociStitched	Zhx2		Zhx2	55, 725
chr6	86598812	86620314	3_Mef2Da2_5d_peak_7595_lociStitched, 2_Myf6_5d.nodup_peak_10684_lociStitched		Asprv1,Mxd1	Asprv1	63, 563
chr2	114130208	114144163	5_Mef2Da2_5d_peak_5537_lociStitched, 4_Myf6_5d.nodup_peak_7398_lociStitched	Aqr		Aqr	68, 115
chr19	36682573	36698476	3_Mef2Da2_5d_peak_4977_lociStitched	1500017E21Rik	Ppp1r3c	1500017E21Rik	72
chr16	14371392	14381321	2_Mef2Da2_5d_peak_3752_lociStitched, 2_Myf6_5d.nodup_peak_4841_lociStitched	Abcc1		Abcc1	73, 373
chr5	73561046	73570508	2_Mef2Da2_5d_peak_7126_lociStitched			Lrrc66	76
chr7	49359272	49397976	4_Myf6_5d.nodup_peak_11303_lociStitched, 6_Mef2Da2_5d_peak_8017_lociStitched	Nav2		Nav2	76, 7
chr8	95149582	95163110	5_Myf6_5d.nodup_peak_12329_lociStitched, 2_Mef2Da2_5d_peak_8712_lociStitched		Kifc3	Kifc3	84, 587
chr14	54222279	54227803	4_Mef2Da2_5d_peak_2977_lociStitched		Abhd4,Dad1	Dad1	95
chr4	148900039	148913087	5_Myf6_5d.nodup_peak_9417_lociStitched, 2_Mef2Da2_5d_peak_6860_lociStitched	Casz1		Casz1	98, 360
chr9	41105396	41118395	2_Mef2Da2_5d_peak_8983_lociStitched, 3_Myf6_5d.nodup_peak_12805_lociStitched	Ubash3b		Ubash3b	98, 379
chr11	97716330	97728563	2_Mef2Da2_5d_peak_1762_lociStitched	Pip4k2b	Pcgf2,Cwc25,Psmb3,1700001P01Rik,Cisd3	Psmb3	99
chr12	86036300	86039961	3_Myf6_5d.nodup_peak_3051_lociStitched, 2_Mef2Da2_5d_peak_2193_lociStitched	Ttll5	Ift43,Tgfb3	Tgfb3	102, 171
chr18	61805302	61830924	5_Myf6_5d.nodup_peak_6176_lociStitched, 2_Mef2Da2_5d_peak_4679_lociStitched	Ablim3	Afap1l1	Afap1l1	104, 490
chr19	10691568	10721218	5_Myf6_5d.nodup_peak_6443_lociStitched	Vps37c,Cd5	4930524O05Rik,A430093F15Rik,Pga5	Vps37c	105
chr18	4987557	5002704	3_Mef2Da2_5d_peak_4452_lociStitched		Svil	Svil	107
chr12	32989948	33008562	4_Mef2Da2_5d_peak_2007_lociStitched		Sypl,4933406C10Rik	Sypl	110
chr17	49472666	49489488	3_Mef2Da2_5d_peak_4263_lociStitched	Daam2	Mocs1	Mocs1	111
chr3	89578868	89598586	5_Myf6_5d.nodup_peak_8215_lociStitched, 3_Mef2Da2_5d_peak_6074_lociStitched	Kcnn3		Kcnn3	111, 232
