#MyoD_MB_peaks Enhancers
#Created from ROSE_MyoD_1906250715/MyoD_MB_peaks_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by myobH3K27ac.bam
#Using cutoff of 1246.5214 for Super-Enhancers
#Created on Jun 25 2019 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	myobH3K27ac.bam	Input_MB.bam	enhancerRank	isSuper
3_MyoD_MB_peak_682_lociStitched	chr13	51962751	51976197	3	577	35188.182	2260.2726	1	1
2_MyoD_MB_peak_273_lociStitched	chr10	81409643	81422056	2	207	32481.0971	1889.2586	2	1
2_MyoD_MB_peak_1550_lociStitched	chr2	180217649	180228820	2	513	31006.2276	1407.546	3	1
3_MyoD_MB_peak_1819_lociStitched	chr4	136165123	136177954	3	596	21613.8195	1548.7017	4	1
4_MyoD_MB_peak_588_lociStitched	chr12	86801231	86816429	4	603	19497.5142	1930.146	5	1
2_MyoD_MB_peak_1957_lociStitched	chr5	125244061	125254208	2	293	17851.6171	1346.5069	6	1
2_MyoD_MB_peak_1242_lociStitched	chr18	60669243	60672957	2	259	16387.6536	603.8964	7	1
2_MyoD_MB_peak_1455_lociStitched	chr2	93458751	93469453	2	574	16107.5802	1488.6482	8	1
2_MyoD_MB_peak_906_lociStitched	chr15	36873173	36884965	2	242	16462.8112	2397.3136	9	1
2_MyoD_MB_peak_468_lociStitched	chr11	102998802	103003580	2	461	14683.7496	850.9618	10	1
2_MyoD_MB_peak_1412_lociStitched	chr2	49742134	49750235	2	470	14926.0925	1189.2268	11	1
2_MyoD_MB_peak_1833_lociStitched	chr4	141273463	141275222	2	204	14100.144	375.3706	12	1
3_MyoD_MB_peak_1839_lociStitched	chr4	150798845	150809708	3	533	14549.9022	1526.2515	13	1
2_MyoD_MB_peak_1893_lociStitched	chr5	36373254	36378273	2	647	12830.0697	787.983	14	1
3_MyoD_MB_peak_2251_lociStitched	chr8	11372205	11387442	3	512	13972.329	2317.5477	15	1
2_MyoD_MB_peak_2255_lociStitched	chr8	13614957	13624185	2	228	13148.0544	1507.8552	16	1
3_MyoD_MB_peak_885_lociStitched	chr15	25761834	25775003	3	498	13467.9363	2141.2794	17	1
2_MyoD_MB_peak_621_lociStitched	chr12	112795978	112797948	2	314	11170.688	266.541	18	1
2_MyoD_MB_peak_1337_lociStitched	chr19	47887554	47892260	2	361	11168.2792	853.6684	19	1
3_MyoD_MB_peak_96_lociStitched	chr1	92699140	92708796	3	564	11602.6496	1472.54	20	1
2_MyoD_MB_peak_781_lociStitched	chr14	25747651	25749964	2	523	10346.2803	376.0938	21	1
2_MyoD_MB_peak_1328_lociStitched	chr19	46518616	46524056	2	257	10672.736	839.936	22	1
2_MyoD_MB_peak_1219_lociStitched	chr18	25510710	25522255	2	424	10576.3745	1519.322	23	1
2_MyoD_MB_peak_2158_lociStitched	chr7	48878135	48884222	2	366	9587.6337	630.6132	24	1
2_MyoD_MB_peak_472_lociStitched	chr11	103235821	103246601	2	223	10304.602	1357.202	25	1
2_MyoD_MB_peak_2089_lociStitched	chr6	114889112	114894156	2	356	8790.1788	617.89	26	1
2_MyoD_MB_peak_2247_lociStitched	chr8	11346307	11348900	2	275	8041.9302	512.8954	27	1
3_MyoD_MB_peak_1931_lociStitched	chr5	111880348	111891039	3	475	9089.4882	1620.7556	28	1
3_MyoD_MB_peak_1089_lociStitched	chr16	95831594	95845116	3	1113	9515.4314	2068.866	29	1
2_MyoD_MB_peak_431_lociStitched	chr11	88551112	88559770	2	282	8375.7492	1087.4448	30	1
4_MyoD_MB_peak_2068_lociStitched	chr6	89345075	89348110	4	619	7508.59	600.0195	31	1
2_MyoD_MB_peak_2260_lociStitched	chr8	14992144	14996384	2	364	7413.216	619.464	32	1
2_MyoD_MB_peak_1139_lociStitched	chr17	31789089	31791140	2	461	6517.6678	349.0802	33	1
2_MyoD_MB_peak_2343_lociStitched	chr8	120150116	120152775	2	352	6540.3423	377.578	34	1
2_MyoD_MB_peak_1400_lociStitched	chr2	32167996	32174532	2	450	6990.252	877.1312	35	1
2_MyoD_MB_peak_537_lociStitched	chr12	25189376	25190657	2	340	6284.586	243.2619	36	1
2_MyoD_MB_peak_272_lociStitched	chr10	80914252	80922239	2	393	6997.4107	1006.362	37	1
3_MyoD_MB_peak_2155_lociStitched	chr7	46341525	46353415	3	470	7349.209	1444.635	38	1
2_MyoD_MB_peak_2122_lociStitched	chr6	145998767	146006469	2	282	6830.9038	1077.5098	39	1
2_MyoD_MB_peak_1208_lociStitched	chr18	5809376	5820475	2	351	7060.0739	1309.682	40	1
2_MyoD_MB_peak_1933_lociStitched	chr5	113872998	113874299	2	223	5787.1082	237.9529	41	1
2_MyoD_MB_peak_2496_lociStitched	chr9	63657181	63665588	2	320	6452.3725	931.4956	42	1
2_MyoD_MB_peak_1942_lociStitched	chr5	120561135	120563912	2	342	5663.4138	325.7421	43	1
2_MyoD_MB_peak_2457_lociStitched	chr9	35336143	35341118	2	505	5904.33	698.9875	44	1
2_MyoD_MB_peak_649_lociStitched	chr13	28757864	28759309	2	336	5384.359	214.438	45	1
2_MyoD_MB_peak_433_lociStitched	chr11	88599490	88605537	2	326	5957.5044	868.3492	46	1
2_MyoD_MB_peak_1042_lociStitched	chr16	30513757	30518192	2	261	5604.953	607.595	47	1
1_MyoD_MB_peak_2449_lociStitched	chr9	24542010	24542159	1	150	32961.1989	27964.5286	48	1
2_MyoD_MB_peak_1527_lociStitched	chr2	163345051	163347723	2	239	5147.8752	311.8224	49	1
2_MyoD_MB_peak_412_lociStitched	chr11	78363486	78364418	2	335	4977.2528	153.8732	50	1
2_MyoD_MB_peak_1970_lociStitched	chr5	136092074	136095345	2	255	5257.4783	465.7904	51	1
2_MyoD_MB_peak_839_lociStitched	chr14	76775535	76787825	2	234	6946.308	2163.04	52	1
2_MyoD_MB_peak_267_lociStitched	chr10	77226999	77229761	2	384	4979.3336	502.4078	53	1
2_MyoD_MB_peak_605_lociStitched	chr12	102286755	102295578	2	390	5544.3732	1094.9343	54	1
2_MyoD_MB_peak_1827_lociStitched	chr4	139689858	139697995	2	287	5158.858	721.7519	55	1
2_MyoD_MB_peak_1344_lociStitched	chr19	53731774	53738976	2	495	5423.8262	1036.3678	56	1
2_MyoD_MB_peak_508_lociStitched	chr11	119209753	119215577	2	417	5054.0672	704.704	57	1
2_MyoD_MB_peak_1156_lociStitched	chr17	44505020	44508509	2	421	4726.5483	486.3666	58	1
2_MyoD_MB_peak_1759_lociStitched	chr4	84202326	84203903	2	373	4484.0418	255.9471	59	1
2_MyoD_MB_peak_2094_lociStitched	chr6	116406271	116408261	2	350	4445.859	321.385	60	1
2_MyoD_MB_peak_441_lociStitched	chr11	95161859	95166153	2	206	4505.2648	522.1504	61	1
2_MyoD_MB_peak_1291_lociStitched	chr19	9060360	9066171	2	209	4901.5785	923.3679	62	1
2_MyoD_MB_peak_1030_lociStitched	chr16	24490879	24498460	2	320	5275.6179	1303.1739	63	1
2_MyoD_MB_peak_980_lociStitched	chr15	86194779	86204145	2	452	5482.8564	1549.1364	64	1
2_MyoD_MB_peak_1048_lociStitched	chr16	38368424	38370972	2	300	4517.0944	621.9668	65	1
2_MyoD_MB_peak_1784_lociStitched	chr4	120063800	120067597	2	359	4345.6665	466.2716	66	1
2_MyoD_MB_peak_567_lociStitched	chr12	73779642	73790986	2	299	5281.7664	1504.2144	67	1
2_MyoD_MB_peak_1546_lociStitched	chr2	173264115	173265070	2	434	3834.4205	149.744	68	1
2_MyoD_MB_peak_175_lociStitched	chr1	177011801	177014680	2	280	3796.2494	473.0197	69	1
2_MyoD_MB_peak_1890_lociStitched	chr5	36069657	36070276	2	427	3366.8029	142.3081	70	1
2_MyoD_MB_peak_2510_lociStitched	chr9	72217344	72220196	2	366	3475.162	329.406	71	1
2_MyoD_MB_peak_1428_lociStitched	chr2	60688948	60694901	2	488	4018.8703	873.3051	72	1
2_MyoD_MB_peak_687_lociStitched	chr13	55169209	55171819	2	495	3384.387	304.848	73	1
2_MyoD_MB_peak_375_lociStitched	chr11	61062722	61063454	2	398	3215.7492	150.8652	74	1
2_MyoD_MB_peak_2303_lociStitched	chr8	78715001	78717488	2	262	3557.6535	513.0681	75	1
2_MyoD_MB_peak_713_lociStitched	chr13	96928438	96940057	2	221	4658.0571	1663.8408	76	1
2_MyoD_MB_peak_417_lociStitched	chr11	79863602	79869368	2	364	3673.5186	713.2542	77	1
2_MyoD_MB_peak_947_lociStitched	chr15	75086320	75087007	2	484	15011.8431	12126.1683	78	1
1_MyoD_MB_peak_2310_lociStitched	chr8	84192087	84192387	1	301	2613.36	48.9	79	1
2_MyoD_MB_peak_1697_lociStitched	chr3	146307345	146311539	2	341	3140.0478	595.548	80	1
2_MyoD_MB_peak_406_lociStitched	chr11	76305735	76310278	2	259	3006.1031	517.4477	81	1
2_MyoD_MB_peak_327_lociStitched	chr11	5009854	5016542	2	228	3493.8112	1021.9264	82	1
2_MyoD_MB_peak_2142_lociStitched	chr7	30008387	30009995	2	452	2608.176	189.4224	83	1
2_MyoD_MB_peak_239_lociStitched	chr10	59813903	59821434	2	361	3715.7954	1305.1223	84	1
2_MyoD_MB_peak_2194_lociStitched	chr7	99360149	99362399	2	415	2608.875	320.4	85	1
2_MyoD_MB_peak_1146_lociStitched	chr17	32164271	32170108	2	374	2950.0198	677.6757	86	1
1_MyoD_MB_peak_1738_lociStitched	chr4	59315539	59315843	1	305	2330.1904	100.624	87	1
2_MyoD_MB_peak_1662_lociStitched	chr3	121604800	121609276	2	280	2950.1316	749.73	88	1
2_MyoD_MB_peak_177_lociStitched	chr1	177623413	177634481	2	256	3355.8176	1189.81	89	1
2_MyoD_MB_peak_2460_lociStitched	chr9	37054246	37055024	2	274	2184.624	81.6122	90	1
2_MyoD_MB_peak_1692_lociStitched	chr3	144665051	144669823	2	421	2659.9128	588.3876	91	1
2_MyoD_MB_peak_1186_lociStitched	chr17	70738201	70738878	2	419	2111.4953	65.8044	92	1
2_MyoD_MB_peak_399_lociStitched	chr11	71976874	71977370	2	411	2133.544	89.8752	93	1
2_MyoD_MB_peak_2646_lociStitched	chrX	11925038	11929814	2	357	2547.0408	536.8224	94	1
2_MyoD_MB_peak_84_lociStitched	chr1	90162529	90164684	2	580	2488.163	493.064	95	1
2_MyoD_MB_peak_2078_lociStitched	chr6	97221922	97223494	2	275	2197.8132	232.9704	96	1
2_MyoD_MB_peak_525_lociStitched	chr12	9112420	9113992	2	386	2307.696	352.4424	97	1
2_MyoD_MB_peak_618_lociStitched	chr12	111851768	111864717	2	491	3585.5781	1654.8822	98	1
2_MyoD_MB_peak_2545_lociStitched	chr9	116376112	116383723	2	241	2726.2602	842.5377	99	1
2_MyoD_MB_peak_993_lociStitched	chr15	98512809	98513333	2	387	1967.2532	123.5592	100	1
